0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Scan Type:,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Inline,Inline,Inline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV,10 MV,10 MV,10 MV,10 MV,10 MV
Fieldsize:,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,24.0 mm,24.0 mm,100.0 mm,100.0 mm,300.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,24.0 mm,24.0 mm,100.0 mm,100.0 mm,300.0 mm,300.0 mm
,Color [MediumVioletRed],Color [ForestGreen],Color [Orange],Color [CornflowerBlue],Color [DeepPink],Color [DarkOliveGreen],Color [DarkRed],Color [DarkTurquoise],Color [DarkGreen],Color [DarkOrchid],Color [DarkBlue],Color [SlateBlue],Color [MediumVioletRed],Color [DarkCyan],Color [DarkMagenta],Color [DarkGoldenrod],Color [Teal],Color [Orange],Color [DeepPink],Color [Blue],Color [ForestGreen],Color [DarkOrange],Color [DarkOliveGreen],Color [CornflowerBlue],Color [Brown],Color [Gold],Color [DarkRed],Color [DarkTurquoise],Color [DarkGreen],Color [DarkOrchid],Color [DarkBlue],Color [SlateBlue],Color [Gold],Color [Teal],Color [Brown],Color [Blue],Color [DarkOrange]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,
-234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,
-233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,
-232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,
-231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,
-230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.8,,,,,,
-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,11,,,,,,
-228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.1,,,,,,
-227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11.3,,,,,,
-226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,11.4,,,,,,
-225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.6,,,,,,
-224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.8,,,,,,
-223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,12,,,,,,
-222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,12.1,,,,,,
-221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.3,,,,,,
-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.5,,,,,,
-219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,12.7,,,,,,
-218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.9,,,,,,
-217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,13.1,,,,,,
-216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13.3,,,,,,
-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,13.2,13.5,,,,,,
-214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,13.4,13.8,,,,,,
-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,13.6,14,,,,,,
-212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,13.8,14.3,,,,,,
-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,14.1,14.5,,,,,,
-210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,14.3,14.8,,,,,,
-209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,14.6,15.2,,,,,,
-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,14.8,15.5,,,,,,
-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.7,15.1,15.8,,,,,,
-206,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,11.9,15.3,16.3,,,,,,
-205,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,12.1,15.6,16.7,,,,,,
