0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Scan Type:,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF)
Fieldsize:,10 x 10 mm,10 x 10 mm,10 x 10 mm,10 x 10 mm,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,50 x 50 mm,50 x 50 mm,50 x 50 mm,50 x 50 mm,50 x 50 mm,50 x 50 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,15.0 mm,24.0 mm,50.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,300.0 mm,15.0 mm,24.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,300.0 mm
,Color [ForestGreen],Color [DarkGoldenrod],Color [Gold],Color [Brown],Color [CornflowerBlue],Color [DarkOliveGreen],Color [DarkOrchid],Color [DarkMagenta],Color [DarkGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrange],Color [DarkBlue],Color [DarkCyan],Color [DarkGoldenrod],Color [DarkMagenta],Color [DarkCyan],Color [MediumVioletRed],Color [Blue],Color [MediumVioletRed],Color [DeepPink],Color [Orange],Color [Teal],Color [SlateBlue],Color [ForestGreen],Color [SlateBlue],Color [Gold],Color [Brown],Color [CornflowerBlue],Color [DarkOliveGreen],Color [SlateBlue],Color [DarkOrchid],Color [Teal],Color [Teal],Color [DarkGreen],Color [DarkTurquoise],Color [DarkRed],Color [Blue],Color [DarkOrange],Color [DarkBlue],Color [Orange],Color [DarkGoldenrod],Color [DarkMagenta],Color [DarkCyan],Color [MediumVioletRed],Color [Blue],Color [DeepPink],Color [DeepPink],Color [Orange],Color [Teal],Color [SlateBlue],Color [ForestGreen],Color [Blue],Color [Gold],Color [Brown],Color [CornflowerBlue],Color [DarkOliveGreen],Color [DarkOrange],Color [DarkBlue],Color [ForestGreen],Color [DarkOrchid],Color [DarkGreen],Color [DarkTurquoise],Color [DarkRed],Color [MediumVioletRed],Color [Orange],Color [DeepPink]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,8.6,,,
-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,
-237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,
