Coordinate_mm,High,Low
-4,44.1,
-3,45,
-2,46.3,
-1,48.2,
0,51.2,
1,56.3,
2,66.1,
3,79.1,
4,88.5,
5,95.5,
6,100.6,
7,104.6,
8,107.5,
9,109.7,
10,111.2,
11,112.3,
12,113.1,
13,113.5,
14,113.6,
15,113.7,
16,113.6,
17,113.3,
18,112.9,
19,112.6,
20,112.1,
21,111.5,
22,111,
23,110.5,
24,109.9,
25,109.3,
26,108.7,
27,108.2,
28,107.6,
29,107,
30,106.4,
31,105.8,
32,105.2,
33,104.6,
34,104.1,
35,103.4,
36,102.8,
37,102.3,
38,101.8,
39,101.2,
40,100.6,
41,100,
42,99.5,
43,98.9,
44,98.3,
45,97.7,
46,97.2,
47,96.5,
48,96,
49,95.4,
50,94.9,94.8
51,94.4,94.3
52,93.8,93.8
53,93.2,93.2
54,92.6,92.6
55,92.2,92.1
56,91.6,91.6
57,91,91.1
58,90.4,90.5
59,89.9,90
60,89.3,89.4
61,,88.9
62,,88.3
63,,87.8
64,,87.2
65,,86.7
66,,86.1
67,,85.7
68,,85.3
69,,84.7
70,,84.2
71,,83.6
72,,83.1
73,,82.6
74,,82
75,,81.5
76,,81
77,,80.6
78,,80.1
79,,79.6
80,,79.1
81,,78.7
82,,78.2
83,,77.7
84,,77.2
85,,76.8
86,,76.3
87,,75.8
88,,75.3
89,,74.8
90,,74.4
91,,73.9
92,,73.4
93,,73
94,,72.6
95,,72.1
96,,71.6
97,,71.2
98,,70.8
99,,70.4
100,,69.9
101,,69.5
102,,69
103,,68.6
104,,68.1
105,,67.7
106,,67.2
107,,66.9
108,,66.5
109,,66.1
110,,65.7
111,,65.3
112,,64.9
113,,64.5
114,,64.1
115,,63.7
116,,63.3
117,,62.9
118,,62.4
119,,62.1
120,,61.7
121,,61.4
122,,61
123,,60.6
124,,60.3
125,,59.9
126,,59.5
127,,59.1
128,,58.8
129,,58.4
130,,58
131,,57.7
132,,57.3
133,,57
134,,56.6
135,,56.3
136,,55.9
137,,55.6
138,,55.3
139,,54.9
140,,54.5
141,,54.2
142,,53.9
143,,53.6
144,,53.2
145,,52.9
146,,52.6
147,,52.3
148,,52
149,,51.7
150,,51.4
151,,51
152,,50.7
153,,50.3
154,,50
155,,49.8
156,,49.5
157,,49.1
158,,48.8
159,,48.5
160,,48.3
161,,47.9
162,,47.6
163,,47.3
164,,47.1
165,,46.8
166,,46.5
167,,46.2
168,,45.9
169,,45.7
170,,45.4
171,,45.1
172,,44.9
173,,44.6
174,,44.3
175,,44.1
176,,43.8
177,,43.5
178,,43.2
179,,42.9
180,,42.7
181,,42.5
182,,42.3
183,,42
184,,41.7
185,,41.4
186,,41.2
187,,41
188,,40.8
189,,40.5
190,,40.2
191,,40
192,,39.7
193,,39.5
194,,39.2
195,,39
196,,38.8
197,,38.5
198,,38.3
199,,38.1
200,,37.9
201,,37.7
202,,37.4
203,,37.2
204,,37
205,,36.8
206,,36.5
207,,36.3
208,,36.1
209,,35.9
210,,35.6
211,,35.4
212,,35.2
213,,35
214,,34.8
215,,34.6
216,,34.4
217,,34.2
218,,34
219,,33.8
220,,33.6
221,,33.4
222,,33.2
223,,33
224,,32.8
225,,32.6
226,,32.4
227,,32.3
228,,32.1
229,,31.9
230,,31.7
231,,31.5
232,,31.3
233,,31.1
234,,30.9
235,,30.7
236,,30.5
237,,30.4
238,,30.2
239,,30
240,,29.8
241,,29.7
242,,29.5
243,,29.3
244,,29.1
245,,29
246,,28.8
247,,28.7
248,,28.5
249,,28.4
250,,28.2
251,,28
252,,27.8
253,,27.6
254,,27.5
255,,27.3
256,,27.2
257,,27
258,,26.9
259,,26.7
260,,26.6
261,,26.4
262,,26.2
263,,26.1
264,,26
265,,25.8
266,,25.6
267,,25.5
268,,25.3
269,,25.2
270,,25.1
271,,24.9
272,,24.8
273,,24.6
274,,24.5
275,,24.3
276,,24.2
277,,24.1
278,,24
279,,23.8
280,,23.7
281,,23.5
282,,23.3
283,,23.2
284,,23.1
285,,23
286,,22.8
287,,22.7
288,,22.6
289,,22.4
290,,22.3
291,,22.2
292,,22.1
293,,21.9
294,,21.8
295,,21.7
296,,21.6
297,,21.4
298,,21.3
299,,21.2
300,,21.1
301,,20.9
302,,20.8
303,,20.7
304,,20.7
305,,20.5
306,,20.4
307,,20.3
308,,20.2
309,,20
310,,19.9
311,,19.8
312,,19.7
313,,19.6
314,,19.5
315,,19.4
316,,19.2
317,,19.1
318,,19
319,,18.9
320,,18.8
321,,18.7
322,,18.6
323,,18.5
324,,18.4
325,,18.3
326,,18.2
327,,18.1
328,,18
329,,17.9
330,,17.8
331,,17.7
332,,17.5
333,,17.5
334,,17.4
335,,17.3
336,,17.2
337,,17.1
338,,17
339,,16.9
340,,16.8
341,,16.7
342,,16.6
343,,16.5
344,,16.4
345,,16.3
346,,16.3
347,,16.2
348,,16.1
349,,16
350,,15.8
