0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Scan Type:,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF)
Fieldsize:,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,400 x 400 mm,400 x 400 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,400 x 400 mm,400 x 400 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,400 x 400 mm,400 x 400 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,400 x 400 mm,400 x 400 mm
Depth:,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm
,Color [Gold],Color [ForestGreen],Color [CornflowerBlue],Color [Brown],Color [DarkOrange],Color [DarkOliveGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrchid],Color [DarkGreen],Color [DarkGoldenrod],Color [DarkBlue],Color [DarkCyan],Color [DarkMagenta],Color [SlateBlue],Color [MediumVioletRed],Color [Orange],Color [Teal],Color [Blue],Color [DeepPink],Color [Gold],Color [ForestGreen],Color [CornflowerBlue],Color [Brown],Color [Orange],Color [Teal],Color [Blue],Color [DeepPink],Color [Gold],Color [ForestGreen],Color [CornflowerBlue],Color [Brown],Color [DarkOrange],Color [DarkOliveGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrchid],Color [DarkGreen],Color [DarkGoldenrod],Color [DarkBlue],Color [DarkCyan],Color [DarkMagenta],Color [SlateBlue],Color [MediumVioletRed],Color [Orange],Color [Teal],Color [Blue],Color [DeepPink]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,44.1,,48.9,,53.2,,66.2,,76.9,,83.1,,136,,144.8,,152,,171.2,,184.4,,191.4,,25.1,,29.7,,34.4,,49.4,,61.3,,67.8,,150.4,,162.8,,173.6,,202,,220.4,,228.6,
-3,45,,49.8,,54.2,,67.4,,78.3,,84.4,,137.9,,146.9,,154.2,,173.7,,187.2,,193.9,,25.8,,30.5,,35.3,,50.5,,62.6,,69,,153.5,,166.1,,177,,205.8,,224.5,,232.8,
-2,46.3,,51.2,,55.7,,69,,80.1,,86.4,,140.7,,149.9,,157.4,,177.1,,190.8,,197.5,,26.9,,31.6,,36.6,,52.1,,64.4,,71,,158.6,,171.2,,182.4,,211.6,,230.4,,238.9,
-1,48.2,,53.2,,57.8,,71.4,,82.6,,88.9,,145,,154.4,,161.9,,182,,195.7,,202.7,,28.7,,33.6,,38.7,,54.6,,67.2,,73.7,,166.4,,179.2,,190.8,,220.5,,239.6,,248.1,
0,51.2,,56.4,,61.1,,75.1,,86.3,,92.5,,151.8,,161.3,,169,,189.4,,203.2,,210.1,,31.6,,36.6,,41.9,,58.1,,70.8,,77.4,,178.6,,191.8,,203.3,,233.4,,252.8,,261.1,
1,56.3,,61.4,,66.2,,80.2,,91.3,,97.2,,162.2,,171.9,,179.6,,199.8,,213.4,,220.1,,36.6,,41.8,,47.3,,63.6,,76.2,,82.5,,199.2,,212.1,,223.7,,254.1,,273.1,,281.3,
2,66.1,,71.5,,76.1,,89.6,,99.8,,104.8,,183.1,,192.3,,199.5,,218.5,,231.3,,237.1,,46.7,,52.2,,57.6,,73.6,,85.2,,90.6,,239.8,,252.3,,263.3,,291.7,,309.5,,315.7,
3,79.1,,84.4,,88.9,,101.1,,109.9,,113.8,,210.8,,219.7,,226.2,,243.5,,254.2,,258.6,,56.6,,62.3,,67.7,,83,,93.6,,98.1,,279.1,,291.7,,302.2,,329.2,,345.5,,350.9,
4,88.5,,93.8,,98.2,,109.2,,117,,120.2,,230.3,,239,,245.4,,260.9,,270.3,,274.2,,65.1,,70.8,,76.3,,90.8,,100.5,,104.4,,310.8,,323.5,,333.7,,359.2,,374.1,,378.6,
5,95.5,,100.8,,105,,115.3,,122,,124.7,,244.1,,252.7,,259.1,,273.3,,281.4,,284.7,,72,,77.9,,83.2,,97.1,,106,,109.3,,336.1,,348.7,,358.5,,382.8,,396.4,,400.6,
6,100.6,,105.9,,110,,119.5,,125.6,,127.9,,254.1,,262.6,,268.5,,281.9,,289.5,,292,,77.8,,83.8,,89,,102.3,,110.3,,113.3,,356.6,,369,,378.7,,401.8,,414.3,,417.9,
7,104.6,,109.8,,113.7,,122.6,,128.1,,130.2,,261.4,,269.8,,275.5,,288,,294.9,,297.2,,82.8,,88.8,,94,,106.5,,113.9,,116.6,,373.8,,386.1,,395.7,,417.3,,428.8,,432.2,
8,107.5,,112.7,,116.5,,124.7,,129.8,,131.7,,266.7,,275,,280.6,,292.4,,298.6,,300.8,,87.1,,93.1,,98,,109.9,,116.8,,119.1,,387.9,,400.1,,409.3,,430.2,,440.7,,443.9,
9,109.7,,114.8,,118.5,,126.3,,130.9,,132.8,,270.5,,278.8,,284.2,,295.2,,301.4,,303.3,,90.7,,96.6,,101.5,,112.7,,119.1,,121.3,,400,,412,,421,,440.6,,450.5,,453.5,
10,111.2,,116.3,,119.9,,127.4,,131.7,,133.4,,273.1,,281.4,,286.6,,297.1,,303,,304.8,,93.7,,99.6,,104.4,,115.1,,121,,123,,409.8,,421.9,,430.6,,449.3,,458.4,,461.4,
11,112.3,,117.5,,120.9,,128,,132.1,,133.8,,274.9,,282.9,,288.2,,298.3,,303.8,,305.6,,96.4,,102.3,,106.9,,117.1,,122.5,,124.4,,418.1,,430.2,,438.8,,456.6,,465.3,,467.8,
12,113.1,,118.1,,121.6,,128.4,,132.3,,134,,275.7,,284.2,,289,,299.1,,304.2,,306.3,,98.6,,104.4,,109,,118.6,,123.7,,125.5,,425.3,,437.3,,445.3,,462.3,,470.6,,473.1,
13,113.5,,118.5,,121.9,,128.5,,132.3,,134,,276.1,,284.2,,289.6,,299.2,,304.2,,306.1,,100.5,,106.3,,110.7,,119.8,,124.7,,126.4,,431,,443.1,,451.1,,467.2,,475.1,,477.4,
14,113.6,,118.6,,122.1,,128.5,,132.3,,133.9,,276,,284.2,,289.3,,298.9,,304,,305.8,,102.1,,107.8,,112.1,,120.9,,125.5,,127,,436,,447.6,,455.7,,471,,478.7,,480.7,
15,113.7,,118.7,,122.1,,128.3,,132,,133.6,,275.4,,284,,289,,298.6,,303.3,,305.5,,103.4,,109.1,,113.3,,121.7,,126.1,,127.5,,439.8,,451.5,,459.1,,474.1,,481.3,,483.5,
16,113.6,,118.6,,121.9,,128.2,,131.7,,133.3,,274.8,,283.3,,288.4,,297.8,,302.6,,304.6,,104.5,,110.1,,114.3,,122.2,,126.4,,127.9,,443,,454.6,,462.2,,476.6,,483.4,,485.6,
17,113.3,,118.3,,121.6,,127.8,,131.4,,133,,273.8,,282.5,,287.4,,296.8,,301.9,,303.8,,105.4,,111,,115,,122.7,,126.7,,128.1,,445.6,,457.3,,464.4,,478.4,,485,,487.2,
18,112.9,,118,,121.2,,127.5,,131,,132.6,,272.9,,281.6,,286.6,,295.9,,301,,302.9,,106.1,,111.6,,115.6,,123,,126.9,,128.2,,447.3,,459.1,,466.4,,479.5,,486,,488.2,
19,112.6,,117.6,,120.9,,127.1,,130.7,,132.3,,271.6,,280.3,,285.4,,295,,299.9,,302,,106.6,,112.1,,116,,123.1,,126.9,,128.3,,448.7,,460.5,,467.7,,480.6,,486.9,,488.7,
20,112.1,,117.1,,120.5,,126.6,,130.2,,131.8,,270.2,,279.3,,284.4,,293.9,,298.7,,300.9,,107,,112.5,,116.4,,123.3,,127,,128.2,,449.4,,461.3,,468.5,,480.9,,487.2,,489.1,
21,111.5,,116.7,,120,,126.1,,129.8,,131.4,,268.7,,278.1,,283.1,,292.7,,297.9,,299.5,,107.4,,112.8,,116.5,,123.3,,126.8,,128.1,,449.9,,462,,468.8,,481.1,,486.9,,488.8,
22,111,,116.2,,119.4,,125.7,,129.3,,131,,267.4,,276.7,,281.9,,291.6,,296.4,,298.6,,107.5,,112.9,,116.7,,123.2,,126.7,,128,,450.1,,462,,468.7,,480.8,,486.6,,488.6,
23,110.5,,115.6,,118.9,,125.2,,128.8,,130.5,,265.8,,275.2,,280.6,,290.5,,295.2,,297.5,,107.6,,113,,116.7,,123.1,,126.5,,127.8,,449.9,,461.6,,468.5,,480,,486.1,,488,
24,109.9,,115.1,,118.5,,124.7,,128.4,,130.1,,264.3,,273.8,,279.4,,289.3,,294.4,,296.3,,107.5,,113,,116.6,,122.9,,126.3,,127.6,,449.5,,461.4,,467.8,,479.6,,485.4,,487.2,
25,109.3,,114.5,,117.9,,124.3,,128,,129.7,,262.8,,272.5,,278.1,,288,,292.9,,295.2,,107.5,,112.9,,116.4,,122.7,,126,,127.3,,448.5,,460.9,,467.2,,478.8,,484.5,,486.5,
26,108.7,,114,,117.5,,123.8,,127.5,,129.3,,261.2,,271,,276.5,,286.7,,292,,294,,107.4,,112.7,,116.3,,122.5,,125.8,,127.1,,447.5,,459.6,,466.1,,477.6,,483.3,,485.4,
27,108.2,,113.5,,116.9,,123.3,,127,,128.7,,259.8,,269.6,,275.4,,285.6,,290.8,,292.7,,107.2,,112.6,,116,,122.2,,125.4,,126.7,,446.4,,458.8,,465.4,,476.5,,482.4,,484.2,
28,107.6,,113,,116.4,,122.8,,126.5,,128.3,,258.3,,268.3,,274.1,,284.2,,289.6,,291.7,,106.9,,112.3,,115.8,,121.8,,125.1,,126.4,,445.1,,457.6,,464.2,,475.2,,481.2,,482.9,
29,107,,112.4,,115.9,,122.3,,126,,127.8,,256.6,,266.9,,272.6,,283,,288.1,,290.4,,106.6,,112,,115.5,,121.4,,124.7,,126,,443.6,,456,,462.7,,473.9,,479.4,,481.5,
30,106.4,,111.9,,115.4,,121.8,,125.6,,127.4,,255.1,,265.5,,271.3,,281.9,,287,,289.2,,106.3,,111.6,,115.2,,121.1,,124.4,,125.7,,442.2,,454.6,,461.1,,472.4,,478.1,,480.1,
31,105.8,,111.4,,114.9,,121.4,,125.2,,127,,253.6,,264,,270.4,,280.7,,285.9,,288,,105.9,,111.3,,114.8,,120.7,,123.9,,125.3,,440.4,,452.9,,459.6,,470.8,,476.5,,478.4,
32,105.2,,110.8,,114.3,,120.9,,124.7,,126.5,,252,,262.7,,268.8,,279.3,,284.6,,286.8,,105.6,,111,,114.5,,120.4,,123.6,,125,,438.4,,451.4,,458,,469.4,,474.5,,476.9,
33,104.6,,110.3,,113.8,,120.4,,124.2,,126,,250.6,,261.3,,267.4,,278,,283.5,,285.9,,105.2,,110.6,,114.1,,119.9,,123.3,,124.6,,436.6,,449.4,,456.2,,467.6,,473.2,,475.1,
34,104.1,,109.7,,113.3,,119.8,,123.7,,125.6,,248.9,,259.9,,266.1,,276.9,,282.4,,284.3,,104.8,,110.2,,113.7,,119.6,,122.8,,124.2,,434.6,,447.8,,454.6,,466,,471.7,,473.4,
35,103.4,,109.2,,112.8,,119.4,,123.2,,125.1,,247.5,,258.5,,264.6,,275.5,,281.2,,283.1,,104.4,,109.8,,113.3,,119.1,,122.4,,123.8,,432.8,,445.9,,452.8,,464,,469.8,,471.7,
36,102.8,,108.6,,112.3,,118.9,,122.8,,124.7,,245.9,,257.1,,263.2,,274.4,,279.8,,282.3,,103.9,,109.4,,112.9,,118.7,,121.9,,123.4,,430.7,,443.9,,450.6,,462.1,,467.9,,470,
37,102.3,,108.1,,111.8,,118.5,,122.3,,124.2,,244.4,,255.6,,262.1,,273.1,,278.4,,280.6,,103.5,,108.9,,112.4,,118.3,,121.6,,123,,428.5,,442,,449,,460.4,,466.1,,468.2,
38,101.8,,107.5,,111.2,,118,,121.9,,123.7,,242.9,,254.3,,260.7,,271.9,,277.3,,279.7,,103.1,,108.5,,112,,117.9,,121.1,,122.5,,426.6,,440,,446.9,,458.5,,464.4,,466.7,
39,101.2,,107,,110.7,,117.5,,121.3,,123.3,,241.2,,252.8,,259.3,,270.8,,276.3,,278.5,,102.5,,108,,111.6,,117.5,,120.7,,122.1,,424.5,,438.1,,445.2,,456.7,,462.6,,464.6,
40,100.6,,106.5,,110.2,,117,,121,,122.9,,239.8,,251.3,,258.1,,269.3,,275.1,,277.2,,102.1,,107.6,,111.1,,117,,120.3,,121.7,,422.1,,436.1,,443.4,,454.8,,460.8,,462.8,
41,100,,105.9,,109.7,,116.6,,120.5,,122.4,,238.2,,249.8,,256.7,,268.2,,273.8,,275.9,,101.7,,107.2,,110.6,,116.6,,119.8,,121.3,,420.1,,434.1,,441.1,,453,,458.7,,461,
42,99.5,,105.4,,109.1,,116,,119.9,,121.9,,236.7,,248.6,,255.4,,266.8,,272.6,,274.9,,101.2,,106.7,,110.2,,116.1,,119.5,,120.9,,417.9,,431.7,,439.2,,451.2,,456.9,,459.2,
43,98.9,,104.9,,108.7,,115.6,,119.5,,121.5,,235.1,,247.1,,254,,265.6,,271.5,,273.7,,100.7,,106.2,,109.7,,115.7,,119,,120.5,,415.6,,430,,437.3,,449.1,,454.9,,457.1,
44,98.3,,104.3,,108.1,,115.1,,119.1,,121,,233.7,,245.8,,252.7,,264.5,,270.1,,272.6,,100.2,,105.7,,109.3,,115.3,,118.6,,120.1,,413.7,,427.8,,435.3,,447.1,,453.1,,455.4,
45,97.7,,103.8,,107.6,,114.6,,118.6,,120.6,,232.2,,244.3,,251.2,,263.2,,268.8,,271,,99.8,,105.2,,108.8,,114.8,,118.2,,119.6,,411.5,,425.9,,433.2,,445.3,,451.2,,453.5,
46,97.2,,103.2,,107.1,,114.1,,118.1,,120.1,,230.6,,243.1,,250.1,,261.8,,267.6,,270.2,,99.3,,104.8,,108.4,,114.4,,117.8,,119.3,,409.3,,423.6,,431.3,,443.6,,449.6,,451.4,
47,96.5,,102.7,,106.6,,113.7,,117.6,,119.7,,229.3,,241.7,,248.8,,260.9,,266.4,,268.9,,98.8,,104.4,,108,,114,,117.3,,118.8,,407,,421.6,,429.3,,441.6,,447.6,,449.7,
48,96,,102.2,,106,,113.1,,117.1,,119.2,,227.5,,240.2,,247.3,,259.4,,265.3,,267.6,,98.3,,103.9,,107.5,,113.6,,116.9,,118.4,,404.8,,419.8,,427.2,,439.8,,445.8,,447.9,
49,95.4,,101.6,,105.5,,112.6,,116.7,,118.7,,226.1,,238.8,,245.9,,258,,264.2,,266.4,,97.9,,103.5,,107,,113.2,,116.5,,118,,402.9,,417.7,,425.1,,437.8,,443.8,,445.9,
50,94.9,94.8,101.1,101.1,105.1,105,112.2,112.2,116.2,116.2,118.3,118.3,224.8,224.8,237.4,237.7,244.6,244.4,256.9,257.3,263,262.4,265.3,265.3,97.4,97.4,103,103,106.5,106.6,112.7,112.7,116.1,116,117.6,117.6,400.4,400.4,415.8,415.2,423.5,423.9,436,436.1,442.1,441.6,444.3,444.9
51,94.4,94.3,100.6,100.6,104.5,104.5,111.7,111.7,115.8,115.8,117.7,117.8,223.2,223.4,236.2,236.2,243.3,243.2,255.7,255.8,261.9,261.4,264,264.1,96.9,96.9,102.6,102.5,106.1,106.2,112.3,112.3,115.6,115.6,117.2,117.2,398.3,398.4,413.8,413.3,421.5,421.7,433.9,434.2,440.2,440.1,442.5,442.9
52,93.8,93.8,100.1,100,104,104.1,111.2,111.3,115.3,115.3,117.3,117.3,221.8,221.9,234.7,234.7,242.2,241.9,254.5,254.4,260.3,260.4,262.9,262.9,96.5,96.5,102.2,102,105.7,105.7,111.9,111.9,115.2,115.3,116.7,116.7,396.1,396.4,411.5,411.4,419.5,419.5,432.3,432.2,438.4,438.6,440.6,440.8
53,93.2,93.2,99.5,99.5,103.5,103.5,110.8,110.8,114.8,114.9,116.9,116.9,220.4,220.4,233.2,233.2,240.7,240.7,253.2,253.2,259,259.1,261.8,261.7,96,96,101.6,101.6,105.3,105.3,111.4,111.5,114.9,114.8,116.3,116.3,394,394.3,409.5,409.2,417.6,417.2,430.5,430.1,436.4,436.7,438.9,438.6
54,92.6,92.6,99,99,103,103,110.3,110.3,114.4,114.4,116.4,116.5,218.9,218.9,231.8,231.7,239.4,239.4,251.8,252,257.8,257.8,260.7,260.5,95.6,95.5,101.1,101.2,104.8,104.8,111,111.1,114.3,114.4,115.9,115.9,392,392.1,407.7,407.2,415.6,415.1,428.5,428.1,434.7,434.9,436.9,436.5
55,92.2,92.1,98.5,98.5,102.5,102.5,109.8,109.8,114,113.9,116.1,116,217.4,217.4,230.5,230.4,238,238,250.7,250.7,256.7,256.5,259.4,259.1,95,95.1,100.7,100.7,104.4,104.4,110.6,110.6,113.9,113.9,115.5,115.5,390.2,390.1,405.5,405.3,413.8,413.3,426.8,426.6,433.1,433.1,435.2,434.8
56,91.6,91.6,97.9,98,101.9,102,109.3,109.3,113.4,113.4,115.6,115.5,215.9,215.9,229.1,229.2,236.7,236.7,249.6,249.5,255.7,255.3,258,257.9,94.6,94.6,100.2,100.2,104,104,110.1,110.2,113.5,113.5,115.1,115.1,387.7,388,403.5,403.4,411.7,411.5,424.9,425,431,431.2,433.6,433.2
57,91,91.1,97.3,97.4,101.5,101.5,108.8,108.8,113,112.9,115.1,115.1,214.5,214.5,228,227.7,235.6,235.4,248.1,248.3,254.2,254.2,256.8,257,94.1,94.1,99.8,99.8,103.6,103.5,109.8,109.7,113.1,113.1,114.7,114.7,385.7,385.8,401.6,401.4,409.7,409.5,422.9,423,429.1,429.1,431.2,431.3
58,90.4,90.5,96.9,96.9,100.9,101,108.4,108.3,112.6,112.5,114.6,114.6,213.1,213.1,226.4,226.3,234.2,234.1,247.1,247.1,253.2,253,255.5,255.9,93.6,93.6,99.4,99.4,103,103.1,109.3,109.3,112.8,112.8,114.3,114.3,383.6,383.7,399.5,399.3,407.7,407.6,421.2,421,427.5,427.1,429.7,429.5
