Coordinate_mm,High,Low
0,53.6,
1,53.8,
2,64.5,
3,79,
4,89.8,
5,97.8,
6,103.8,
7,108.1,
8,111.8,
9,114.3,
10,116.1,
11,117.5,
12,118.5,
13,118.9,
14,119.4,
15,119.4,
16,119.3,
17,119.2,
18,118.8,
19,118.3,
20,118,
21,117.4,
22,116.9,
23,116.3,
24,115.8,
25,115,
26,114.6,
27,113.9,
28,113.4,
29,112.8,
30,112.2,
31,111.4,
32,110.8,
33,110.3,
34,109.7,
35,109.2,
36,108.5,
37,107.9,
38,107.4,
39,106.6,
40,106.2,
41,105.5,
42,105.1,
43,104.4,
44,103.7,
45,103.2,
46,102.4,
47,101.9,
48,101.4,
49,100.5,
50,100.3,
51,99.4,99.6
52,99.3,98.9
53,98.3,98.4
54,97.7,97.8
55,97.1,97.4
56,96.4,96.8
57,96.2,96.1
58,95.5,95.4
59,94.9,94.7
60,,94.1
61,,93.7
62,,93.2
63,,92.7
64,,92.2
65,,91.6
66,,91
67,,90.4
68,,89.8
69,,89.3
70,,88.9
71,,88.3
72,,87.7
73,,87.3
74,,86.8
75,,86.3
76,,85.8
77,,85.3
78,,84.7
79,,84.2
80,,83.6
81,,83
82,,82.4
83,,81.9
84,,81.4
85,,81.1
86,,80.7
87,,80.1
88,,79.6
89,,79.1
90,,78.6
91,,78
92,,77.4
93,,76.9
94,,76.5
95,,76
96,,75.6
97,,75.3
98,,74.9
99,,74.4
100,,73.8
101,,73.4
102,,72.9
103,,72.5
104,,72
105,,71.6
106,,71.1
107,,70.8
108,,70.4
109,,69.8
110,,69.2
111,,68.7
112,,68.2
113,,68
114,,67.7
115,,67.3
116,,66.9
117,,66.4
118,,65.8
119,,65.5
120,,65.1
121,,64.5
122,,64
123,,63.8
124,,63.6
125,,63.2
126,,62.8
127,,62.3
128,,61.9
129,,61.4
130,,61
131,,60.9
132,,60.7
133,,60.2
134,,59.7
135,,59.4
136,,59
137,,58.6
138,,58.2
139,,57.9
140,,57.5
141,,57.1
142,,56.8
143,,56.6
144,,56.4
145,,56
146,,55.6
147,,55.1
148,,54.8
149,,54.5
150,,54.2
151,,53.9
152,,53.5
153,,53.2
154,,52.8
155,,52.5
156,,52.2
157,,51.9
158,,51.6
159,,51.3
160,,51.1
161,,50.8
162,,50.5
163,,50.2
164,,49.8
165,,49.5
166,,49.1
167,,48.8
168,,48.5
169,,48.2
170,,47.9
171,,47.7
172,,47.6
173,,47.2
174,,46.9
175,,46.5
176,,46.2
177,,46.1
178,,45.9
179,,45.6
180,,45.4
181,,45
182,,44.7
183,,44.4
184,,44.1
185,,43.8
186,,43.5
187,,43.3
188,,43.1
189,,42.8
190,,42.6
191,,42.2
192,,41.8
193,,41.7
194,,41.5
195,,41.2
196,,40.9
197,,40.7
198,,40.5
199,,40.2
200,,39.9
201,,39.7
202,,39.5
203,,39.3
204,,39.1
205,,38.8
206,,38.4
207,,38.2
208,,37.9
209,,37.8
210,,37.7
211,,37.5
212,,37.2
213,,36.9
214,,36.7
215,,36.5
216,,36.4
217,,36.1
218,,35.7
219,,35.5
220,,35.3
221,,35.1
222,,35
223,,34.9
224,,34.7
225,,34.5
226,,34.3
227,,34.2
228,,34
229,,33.7
230,,33.3
231,,33.2
232,,33.1
233,,32.9
234,,32.6
235,,32.4
236,,32.2
237,,32
238,,31.9
239,,31.7
240,,31.6
241,,31.4
242,,31.3
243,,31.1
244,,31
245,,30.8
246,,30.6
247,,30.4
248,,30.2
249,,30.1
250,,30
251,,29.7
252,,29.4
253,,29.2
254,,29
255,,28.9
256,,28.7
257,,28.5
258,,28.4
259,,28.5
260,,28.5
261,,28.2
262,,27.9
263,,27.7
264,,27.4
265,,27.3
266,,27.1
267,,26.9
268,,26.8
269,,26.7
270,,26.6
271,,26.3
272,,26.1
273,,25.9
274,,25.8
275,,25.6
276,,25.5
277,,25.4
278,,25.3
279,,25.2
280,,25.1
281,,24.9
282,,24.7
283,,24.6
284,,24.6
285,,24.4
286,,24.2
287,,24
288,,23.8
289,,23.8
290,,23.7
291,,23.6
292,,23.5
293,,23.2
294,,23
295,,23.1
296,,23.1
297,,22.8
298,,22.6
299,,22.5
300,,22.4
301,,22.2
302,,22.1
303,,21.9
304,,21.7
305,,21.6
306,,21.4
307,,21.3
308,,21.3
309,,21.2
310,,21.1
311,,21
312,,20.8
313,,20.7
314,,20.6
315,,20.4
316,,20.2
317,,20.2
318,,20.3
319,,20.2
320,,20.1
321,,20
322,,19.9
323,,19.8
324,,19.6
325,,19.4
326,,19.2
327,,19.1
328,,19
329,,18.9
330,,18.8
331,,18.8
332,,18.7
333,,18.6
334,,18.5
335,,18.4
336,,18.3
337,,18.2
338,,18
339,,17.9
340,,17.8
341,,17.7
342,,17.6
343,,17.6
344,,17.6
345,,17.5
346,,17.3
347,,17.2
348,,17
349,,16.9
