0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Scan Type:,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),6 MV (FFF),10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV,10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF)
Fieldsize:,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,50 x 50 mm,50 x 50 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,50 x 50 mm,50 x 50 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,50 x 50 mm,50 x 50 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,50 x 50 mm,50 x 50 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm
Depth:,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm
,Color [Gold],Color [ForestGreen],Color [CornflowerBlue],Color [Brown],Color [DarkOrange],Color [DarkOliveGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrchid],Color [DarkGreen],Color [DarkGoldenrod],Color [DarkBlue],Color [DarkCyan],Color [DarkMagenta],Color [SlateBlue],Color [MediumVioletRed],Color [Orange],Color [Teal],Color [Blue],Color [DeepPink],Color [Gold],Color [ForestGreen],Color [CornflowerBlue],Color [Brown],Color [DarkOrange],Color [DarkOliveGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrchid],Color [DarkGreen],Color [DarkGoldenrod],Color [DarkBlue],Color [DarkCyan],Color [DarkMagenta],Color [SlateBlue],Color [MediumVioletRed],Color [Orange],Color [Teal],Color [Blue],Color [DeepPink],Color [DarkCyan],Color [DarkMagenta],Color [Gold],Color [ForestGreen],Color [CornflowerBlue],Color [Brown],Color [DarkOrange],Color [DarkOliveGreen],Color [DarkTurquoise],Color [DarkRed],Color [DarkOrchid],Color [DarkGreen],Color [DarkGoldenrod],Color [DarkBlue]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,72.3,,74.6,,75.8,,77.7,,79.7,,82.9,,87.2,,202,,208,,211.2,,213.1,,216.8,,220.6,,226.9,,46.7,,48.6,,49.7,,51.3,,52.8,,56.3,,61.2,,249.8,,257.8,,261.8,,266.1,,270.7,,278.1,,288.3,
-3,72.2,,74.6,,75.7,,77.6,,79.4,,82.7,,87.1,,201.5,,207.9,,211.2,,212.9,,216.6,,220.7,,226.8,,46.7,,48.5,,49.7,,51.1,,52.8,,56.2,,61.2,,249.3,,257.4,,261.8,,266.1,,270.4,,277.5,,287.9,
-2,72,,74.4,,75.7,,77.7,,79.4,,82.6,,87,,201.4,,207.5,,211.1,,212.5,,216.4,,220.5,,226.7,,46.5,,48.5,,49.6,,51.1,,52.8,,56,,61.2,,249,,257.3,,261.4,,265.6,,270.3,,277.5,,287.7,
-1,72.1,,74.4,,75.6,,77.5,,79.2,,82.6,,87,,201.2,,207.4,,210.8,,212.4,,216.6,,220.3,,226.7,,46.6,,48.4,,49.6,,51,,52.8,,56,,60.9,,248.6,,256.9,,261.3,,265.2,,269.8,,277.3,,287.8,
0,71.8,,74.3,,75.5,,77.4,,79.3,,82.7,,87,,200.7,,207,,210.7,,212.7,,216.2,,220.3,,227,,46.5,,48.2,,49.5,,51,,52.7,,56,,61,,248.3,,256.7,,260.9,,265.2,,269.7,,277.3,,287.6,
1,71.9,,74.3,,75.4,,77.5,,79.3,,82.6,,87.1,,200.6,,207,,210.6,,212.5,,216.4,,220.5,,227,,46.4,,48.3,,49.5,,51,,52.6,,56.1,,61,,247.9,,256.5,,260.9,,265.3,,270.1,,277.6,,287.8,
2,71.7,,74.1,,75.6,,77.2,,79.2,,82.7,,87.2,,200.1,,206.8,,210.1,,212.5,,216.1,,220.6,,227.4,,46.4,,48.2,,49.5,,51,,52.8,,56.1,,61.2,,247.4,,256.5,,260.9,,265.5,,269.9,,277.9,,288.1,
3,75.4,,77.6,,78.9,,80.5,,82.1,,85.3,,89.5,,204,,210,,222.2,,225.4,,228.1,,233.7,,239.9,,51.4,,53.3,,54.6,,56,,57.7,,61.1,,66,,259.4,,274.1,,277.6,,281,,285.1,,292.3,,302,
4,83.8,,86.4,,87.6,,89.4,,91.1,,94.4,,98.4,,221.7,,228.3,,238.5,,241.7,,244.6,,250.3,,256.1,,59.1,,61.5,,62.7,,64.3,,66.1,,69.7,,74.7,,290.5,,305.9,,309.6,,313.6,,317.3,,324.7,,334.5,
5,90,,93.1,,94.6,,96.1,,97.9,,101.1,,105.3,,234.3,,242.2,,250.4,,253.7,,256.5,,261.6,,267.6,,65.4,,68.3,,69.7,,71.3,,73.1,,76.7,,81.6,,315,,331.9,,335.8,,339.7,,343.5,,351,,360.4,
