Coordinate_mm,High,Low
-4,77.7,
-3,77.6,
-2,77.7,
-1,77.5,
0,77.4,
1,77.5,
2,77.2,
3,80.5,
4,89.4,
5,96.1,
6,101.2,
7,105.1,
8,108.1,
9,110.3,
10,111.7,
11,112.9,
12,113.6,
13,114.2,
14,114.4,
15,114.3,
16,114.2,
17,113.9,
18,113.6,
19,113.1,
20,112.9,
21,112.3,
22,111.8,
23,111.2,
24,110.9,
25,110,
26,109.6,
27,109,
28,108.4,
29,107.8,
30,107.2,
31,106.7,
32,106.1,
33,105.4,
34,104.9,
35,104.1,
36,103.6,
37,103.1,
38,102.4,
39,101.7,
40,101.3,
41,100.8,
42,100.2,
43,99.5,
44,99.1,
45,98.5,
46,97.9,
47,97.3,
48,96.8,
49,96.2,
50,95.7,
51,95,94.8
52,94.6,94.3
53,94,93.9
54,93.2,93.5
55,93,92.9
56,92.2,92.3
57,91.8,91.8
58,91.2,91.3
59,90.6,90.7
60,,90.2
61,,89.6
62,,89
63,,88.4
64,,87.8
65,,87.3
66,,86.9
67,,86.4
68,,85.9
69,,85.2
70,,84.5
71,,84.1
72,,83.7
73,,83.2
74,,82.7
75,,82.1
76,,81.6
77,,81.4
78,,81.1
79,,80.3
80,,79.6
81,,79.2
82,,78.7
83,,78.3
84,,77.8
85,,77.1
86,,76.5
87,,76.2
88,,75.9
89,,75.4
90,,74.9
91,,74.5
92,,74.1
93,,73.6
94,,73.2
95,,72.8
96,,72.4
97,,71.8
98,,71.3
99,,70.8
100,,70.4
101,,69.9
102,,69.5
103,,69.1
104,,68.7
105,,68.2
106,,67.8
107,,67.4
108,,67
109,,66.5
110,,66
111,,65.6
112,,65.2
113,,64.8
114,,64.4
115,,64.2
116,,63.8
117,,63.4
118,,62.9
119,,62.5
120,,62.1
121,,61.7
122,,61.4
123,,61.1
124,,60.7
125,,60.2
126,,59.7
127,,59.5
128,,59.2
129,,58.8
130,,58.4
131,,58
132,,57.6
133,,57.3
134,,56.9
135,,56.6
136,,56.2
137,,55.9
138,,55.5
139,,55.2
140,,54.8
141,,54.5
142,,54.1
143,,53.8
144,,53.6
145,,53.3
146,,53
147,,52.6
148,,52.1
149,,51.9
150,,51.7
151,,51.4
152,,51
153,,50.6
154,,50.1
155,,50
156,,49.9
157,,49.4
158,,49.1
159,,48.7
160,,48.4
161,,48.1
162,,47.7
163,,47.4
164,,47.2
165,,47.1
166,,46.9
167,,46.5
168,,46.2
169,,45.8
170,,45.4
171,,45.2
172,,45
173,,44.7
174,,44.5
175,,44.2
176,,44
177,,43.6
178,,43.3
179,,43.1
180,,42.9
181,,42.6
182,,42.3
183,,42.2
184,,42
185,,41.6
186,,41.3
187,,41.1
188,,40.8
189,,40.6
190,,40.4
191,,40.1
192,,39.9
193,,39.6
194,,39.4
195,,39.1
196,,38.9
197,,38.6
198,,38.3
199,,38.1
200,,37.9
201,,37.7
202,,37.5
203,,37.2
204,,37
205,,36.8
206,,36.6
207,,36.5
208,,36.3
209,,36
210,,35.7
211,,35.4
212,,35.2
213,,35.1
214,,34.9
215,,34.7
216,,34.5
217,,34.3
218,,34
219,,33.8
220,,33.5
221,,33.4
222,,33.2
223,,33.1
224,,33
225,,32.8
226,,32.5
227,,32.3
228,,32.1
229,,31.9
230,,31.8
231,,31.6
232,,31.4
233,,31.2
234,,31.1
235,,30.9
236,,30.8
237,,30.6
238,,30.3
239,,30.1
240,,29.8
241,,29.7
242,,29.5
243,,29.4
244,,29.2
245,,28.9
246,,28.7
247,,28.5
248,,28.4
249,,28.3
250,,28.1
251,,28
252,,27.9
253,,27.7
254,,27.5
255,,27.4
256,,27.3
257,,27
258,,26.7
259,,26.6
260,,26.5
261,,26.4
262,,26.3
263,,26.1
264,,25.9
265,,25.8
266,,25.7
267,,25.6
268,,25.4
269,,25.2
270,,25.1
271,,24.9
272,,24.7
273,,24.6
274,,24.6
275,,24.4
276,,24.2
277,,24
278,,23.7
279,,23.6
280,,23.6
281,,23.5
282,,23.4
283,,23.2
284,,23
285,,22.9
286,,22.8
287,,22.7
288,,22.6
289,,22.4
290,,22.3
291,,22.1
292,,22
293,,21.9
294,,21.8
295,,21.6
296,,21.4
297,,21.4
298,,21.3
299,,21.1
300,,21
301,,20.9
302,,20.8
303,,20.6
304,,20.5
305,,20.4
306,,20.4
307,,20.3
308,,20.2
309,,20
310,,19.9
311,,19.7
312,,19.6
313,,19.5
314,,19.4
315,,19.3
316,,19.2
317,,19.1
318,,19
319,,18.9
320,,18.7
321,,18.6
322,,18.5
323,,18.4
324,,18.3
325,,18.2
326,,18.1
327,,18
328,,17.9
329,,17.8
330,,17.8
331,,17.6
332,,17.5
333,,17.4
334,,17.3
335,,17.2
336,,17.1
337,,17
338,,16.9
339,,16.7
340,,16.6
341,,16.6
342,,16.6
343,,16.5
344,,16.4
345,,16.2
346,,16.1
347,,16.1
348,,16
349,,15.9
350,,15.8
