Coordinate_mm,Data
0.00,59.50
1.00,60.00
2.00,69.40
3.00,82.20
4.00,91.20
5.00,98.10
6.00,103.10
7.00,106.90
8.00,109.90
9.00,111.90
10.00,113.40
11.00,114.60
12.00,115.00
13.00,115.70
14.00,115.80
15.00,115.80
16.00,115.50
17.00,115.20
18.00,115.10
19.00,114.90
20.00,114.30
21.00,114.00
22.00,113.50
23.00,112.90
24.00,112.60
25.00,112.20
26.00,111.80
27.00,111.10
28.00,110.70
29.00,110.20
30.00,109.50
31.00,109.10
32.00,108.70
33.00,108.20
34.00,107.60
35.00,107.30
36.00,106.90
37.00,106.20
38.00,105.70
39.00,105.20
40.00,104.80
41.00,104.30
42.00,103.60
43.00,103.50
44.00,102.80
45.00,102.40
46.00,101.80
47.00,101.20
48.00,100.90
49.00,100.30
50.00,99.90
51.00,99.40
52.00,98.90
53.00,98.40
54.00,97.90
55.00,97.30
56.00,96.70
57.00,96.30
58.00,95.90
59.00,95.40
60.00,95.00
61.00,94.40
62.00,93.80
63.00,93.50
64.00,93.10
65.00,92.70
66.00,92.30
67.00,91.80
68.00,91.30
69.00,90.90
70.00,90.40
71.00,89.80
72.00,89.30
73.00,88.90
74.00,88.40
75.00,88.10
76.00,87.70
77.00,87.10
78.00,86.50
79.00,86.10
80.00,85.70
81.00,85.20
82.00,84.70
83.00,84.10
84.00,83.60
85.00,83.40
86.00,83.10
87.00,82.70
88.00,82.30
89.00,81.60
90.00,81.00
91.00,80.80
92.00,80.50
93.00,80.10
94.00,79.60
95.00,79.10
96.00,78.60
97.00,78.20
98.00,77.80
99.00,77.50
100.00,77.10
101.00,76.70
102.00,76.30
103.00,75.90
104.00,75.40
105.00,74.90
106.00,74.40
107.00,74.00
108.00,73.50
109.00,73.10
110.00,72.70
111.00,72.40
112.00,72.10
113.00,71.70
114.00,71.20
115.00,70.80
116.00,70.40
117.00,70.10
118.00,69.70
119.00,69.20
120.00,68.80
121.00,68.50
122.00,68.20
123.00,67.90
124.00,67.70
125.00,67.20
126.00,66.70
127.00,66.30
128.00,65.90
129.00,65.60
130.00,65.20
131.00,64.60
132.00,64.10
133.00,63.90
134.00,63.70
135.00,63.40
136.00,63.10
137.00,62.70
138.00,62.40
139.00,62.00
140.00,61.60
141.00,61.20
142.00,60.90
143.00,60.60
144.00,60.40
145.00,60.00
146.00,59.70
147.00,59.40
148.00,59.10
149.00,58.60
150.00,58.20
151.00,57.90
152.00,57.60
153.00,57.30
154.00,57.00
155.00,56.80
156.00,56.60
157.00,56.20
158.00,55.80
159.00,55.60
160.00,55.30
161.00,54.80
162.00,54.40
163.00,54.30
164.00,54.00
165.00,53.60
166.00,53.30
167.00,53.00
168.00,52.80
169.00,52.60
170.00,52.40
171.00,51.90
172.00,51.60
173.00,51.50
174.00,51.30
175.00,50.90
176.00,50.50
177.00,50.30
178.00,50.00
179.00,49.70
180.00,49.40
181.00,49.10
182.00,48.90
183.00,48.70
184.00,48.50
185.00,48.20
186.00,47.90
187.00,47.60
188.00,47.30
189.00,47.10
190.00,46.80
191.00,46.50
192.00,46.20
193.00,46.00
194.00,45.90
195.00,45.60
196.00,45.30
197.00,45.10
198.00,44.80
199.00,44.50
200.00,44.20
201.00,43.90
202.00,43.60
203.00,43.50
204.00,43.30
205.00,43.10
206.00,42.80
207.00,42.50
208.00,42.20
209.00,42.00
210.00,41.90
211.00,41.60
212.00,41.40
213.00,41.10
214.00,40.80
215.00,40.60
216.00,40.40
217.00,40.20
218.00,40.00
219.00,39.80
220.00,39.60
221.00,39.40
222.00,39.10
223.00,39.00
224.00,38.80
225.00,38.50
226.00,38.20
227.00,38.00
228.00,37.80
229.00,37.70
230.00,37.50
231.00,37.20
232.00,37.00
233.00,36.90
234.00,36.80
235.00,36.50
236.00,36.30
237.00,36.10
238.00,35.90
239.00,35.70
240.00,35.40
241.00,35.20
242.00,34.90
243.00,34.80
244.00,34.60
245.00,34.50
246.00,34.40
247.00,34.10
248.00,33.90
249.00,33.80
250.00,33.80
251.00,33.60
252.00,33.40
253.00,33.30
254.00,33.10
255.00,32.90
256.00,32.70
257.00,32.40
258.00,32.10
259.00,31.90
260.00,31.70
261.00,31.60
262.00,31.60
263.00,31.30
