Energy:,6 MeV,6 MeV,6 MeV,6 MeV,6 MeV,6 MeV,9 MeV,9 MeV,9 MeV,9 MeV,9 MeV,9 MeV,12 MeV,12 MeV,12 MeV,12 MeV,12 MeV,12 MeV,16 MeV,16 MeV,16 MeV,16 MeV,16 MeV,16 MeV,20 MeV
Fieldsize:,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,100 x 100 mm
Depth:,39.4 mm,40.0 mm,39.4 mm,39.4 mm,40.0 mm,40.0 mm,54.4 mm,55.0 mm,54.4 mm,54.4 mm,55.0 mm,55.0 mm,74.4 mm,75.0 mm,74.4 mm,74.4 mm,75.0 mm,75.0 mm,94.4 mm,95.0 mm,94.4 mm,94.4 mm,95.0 mm,95.0 mm,120.0 mm
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,
-2,74.9,74.1,75.4,75.7,76.3,77,79.6,78.7,79.9,79.8,80.5,81,85.6,84.9,85.1,85.4,86.3,86.4,91,90.1,90.5,89.7,89.6,89.8,91.3
-1,74.7,74,75.3,75.5,76.2,77,79.4,78.6,79.7,79.8,80.5,80.9,85.4,84.7,84.9,85.2,86.2,86.3,90.6,89.8,90.3,89.5,89.6,89.6,91.1
0,74.9,74.1,75.4,75.7,76.2,77.3,79.5,78.5,79.9,79.9,80.4,80.8,85.4,84.5,85,85.3,86.1,86.2,90.4,89.7,90.3,89.6,89.5,89.5,91.1
1,75.4,74.8,76.1,76.7,77,77.9,79.7,79,80.3,80.6,81,81.5,85.3,85.1,85.2,85.7,86.7,86.8,90.3,90.3,90.3,90,90.2,90.2,91.8
2,77.7,77.3,78.5,79,79.6,80.3,81.5,81.1,82,82.3,83,83.6,87,86.9,86.9,87.4,88.5,88.4,92.3,92.1,92.1,91.8,91.9,91.9,93.5
3,80,79.5,80.8,81.2,81.8,82.5,83,82.7,83.6,83.8,84.5,84.9,88.5,88.4,88.2,88.8,89.8,89.7,93.6,93.4,93.4,93.1,93.2,93.1,94.9
4,82.2,81.5,82.9,83.1,83.8,84.4,84.3,84,84.8,85,85.6,85.9,89.5,89.5,89.3,89.8,90.8,90.6,94.7,94.4,94.4,94,94.1,94.1,96
5,84.3,83.7,85,85.2,85.8,86.4,85.5,85.1,85.9,86.2,86.7,87,90.5,90.2,90.1,90.6,91.6,91.3,95.5,95.2,95.1,94.7,94.9,94.8,96.7
6,86.5,85.8,87.2,87.4,87.8,88.4,86.6,86.2,87,87.2,87.6,87.9,91.3,91,90.9,91.3,92.2,92,96,95.8,95.8,95.4,95.6,95.4,97.3
7,88.8,88.1,89.3,89.4,89.9,90.4,87.7,87.2,88,88.3,88.5,88.9,91.8,91.7,91.6,92,92.8,92.5,96.5,96.3,96.3,95.9,96,95.9,97.8
8,91.1,90.3,91.6,91.7,92.1,92.5,88.7,88.2,89,89.1,89.5,89.8,92.3,92.2,92.1,92.4,93.3,93,97,96.8,96.7,96.4,96.4,96.4,98.1
9,93.4,92.7,93.8,94,94.1,94.7,89.7,89.1,89.9,90.1,90.5,90.8,92.9,92.8,92.7,93,93.8,93.6,97.3,97.2,97.1,96.7,96.9,96.7,98.5
10,95.6,94.8,95.9,96,96.1,96.5,90.7,90.2,90.9,91.1,91.4,91.7,93.5,93.3,93.1,93.6,94.2,94.1,97.6,97.4,97.5,97.1,97.2,97.1,98.8
11,97.4,96.9,97.6,97.7,97.9,98.1,91.8,91.3,92,92.1,92.4,92.6,94,93.8,93.6,94,94.7,94.5,98,97.7,97.8,97.4,97.5,97.4,99
12,98.9,98.6,99,99.1,99.1,99.3,92.8,92.3,92.9,93.1,93.3,93.5,94.5,94.3,94.1,94.5,95.1,94.9,98.2,98.1,98,97.8,97.8,97.7,99.2
13,99.7,99.4,99.8,99.9,99.9,100,93.8,93.3,94,94.1,94.3,94.5,94.9,94.7,94.5,94.9,95.5,95.3,98.4,98.3,98.3,97.9,98,98,99.4
