Energy:,6 MeV,6 MeV,6 MeV,6 MeV,6 MeV,6 MeV,9 MeV,9 MeV,9 MeV,9 MeV,9 MeV,9 MeV,12 MeV,12 MeV,12 MeV,12 MeV,12 MeV,12 MeV,16 MeV,16 MeV,16 MeV,16 MeV,16 MeV,16 MeV,20 MeV
Fieldsize:,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,60 x 60 mm,60 x 100 mm,100 x 100 mm,150 x 150 mm,200 x 200 mm,250 x 250 mm,100 x 100 mm
Depth:,13.0 mm,13.0 mm,13.0 mm,13.0 mm,13.0 mm,13.0 mm,21.0 mm,21.0 mm,21.0 mm,21.0 mm,21.0 mm,21.0 mm,29.0 mm,29.0 mm,29.0 mm,29.0 mm,29.0 mm,29.0 mm,30.0 mm,30.0 mm,30.0 mm,30.0 mm,30.0 mm,30.0 mm,24.0 mm
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,
-158,,,,,,,,,,,,,,,,,,1.4,,,,,,1.7,
-157,,,,,,,,,,,,0.7,,,,,,1.6,,,,,,1.8,
-156,,,,,,0.5,,,,,,0.8,,,,,,1.7,,,,,,1.9,
-155,,,,,,0.5,,,,,,0.9,,,,,,1.9,,,,,,2,
-154,,,,,,0.5,,,,,,1,,,,,,2.1,,,,,,2.1,
-153,,,,,,0.5,,,,,,1.1,,,,,,2.4,,,,,,2.3,
-152,,,,,,0.6,,,,,,1.2,,,,,,2.6,,,,,,2.4,
-151,,,,,,0.6,,,,,,1.5,,,,,,2.9,,,,,,2.6,
-150,,,,,,0.8,,,,,,1.7,,,,,,3.2,,,,,,2.8,
-149,,,,,,0.9,,,,,,1.9,,,,,,3.6,,,,,,2.9,
-148,,,,,,1,,,,,,2.2,,,,,,4,,,,,,3.2,
-147,,,,,,1.1,,,,,,2.5,,,,,,4.4,,,,,,3.5,
-146,,,,,,1.3,,,,,,3.1,,,,,,5,,,,,,3.9,
-145,,,,,,1.6,,,,,,3.6,,,,,,5.8,,,,,,4.2,
-144,,,,,,2,,,,,,4.2,,,,,,6.7,,,,,,4.5,
-143,,,,,,2.4,,,,,,4.7,,,,,,7.5,,,,,,5.2,
-142,,,,,,2.7,,,,,,5.4,,,,,,8.3,,,,,,6.2,
-141,,,,,,3.2,,,,,,6.3,,,,,,9.6,,,,,,7.1,
-140,,,,,,4,,,,,,7.5,,,,,,11,,,,,,8,
-139,,,,,,4.9,,,,,,8.8,,,,,,12.7,,,,,,8.9,
-138,,,,,,6,,,,,,10.5,,,,,,14.9,,,,,,10.1,
-137,,,,,,7.5,,,,,,12.4,,,,,,17.4,,,,,,12.2,
-136,,,,,,9.1,,,,,,14.8,,,,,,20.2,,,,,,14.8,
-135,,,,,,11.3,,,,,,17.7,,,,,,23.6,,,,,,18.1,
-134,,,,,,14,,,,,,21.1,,,,,,27.5,,,,,,22.1,
-133,,,,,,17.2,,,,,,25,,,,,1.4,32.1,,,,,1.7,26.7,
-132,,,,,0.4,21.2,,,,,0.7,29.4,,,,,1.5,37,,,,,1.8,32.7,
-131,,,,,0.4,25.7,,,,,0.7,34.6,,,,,1.6,42.2,,,,,1.9,39.2,
-130,,,,,0.4,31.1,,,,,0.8,40.4,,,,,1.7,47.9,,,,,2,46.4,
-129,,,,,0.5,37,,,,,0.9,46.6,,,,,1.9,53.9,,,,,2.1,54.2,
-128,,,,,0.5,43.5,,,,,1,53.1,,,,,2.1,60.1,,,,,2.2,61.1,
-127,,,,,0.6,50.5,,,,,1.1,59.4,,,,,2.3,65.9,,,,,2.3,68.2,
-126,,,,,0.6,57.3,,,,,1.3,65.4,,,,,2.5,71.1,,,,,2.5,74.8,
-125,,,,,0.7,63.5,,,,,1.4,71.3,,,,,2.8,76.3,,,,,2.6,80.5,
-124,,,,,0.8,69.6,,,,,1.6,76.5,,,,,3.1,80.7,,,,,2.8,85.4,
-123,,,,,0.9,74.8,,,,,1.9,81.3,,,,,3.5,84.6,,,,,3,89.1,
-122,,,,,0.9,79.5,,,,,2.2,85.3,,,,,3.8,88.3,,,,,3.2,92,
-121,,,,,1.1,83.1,,,,,2.5,88.4,,,,,4.3,91,,,,,3.5,94.4,
-120,,,,,1.4,85.7,,,,,2.9,91.2,,,,,5,93.3,,,,,3.9,96.1,
-119,,,,,1.6,88.2,,,,,3.5,93.3,,,,,5.6,95.3,,,,,4.2,97.6,
-118,,,,,1.9,90.1,,,,,4.1,95.1,,,,,6.2,96.9,,,,,4.6,98.5,
-117,,,,,2.3,91.5,,,,,4.6,96.3,,,,,7.2,98.1,,,,,5.2,99.1,
-116,,,,,2.9,92.5,,,,,5.6,97.1,,,,,8.4,99,,,,,5.9,99.7,
-115,,,,,3.5,93.3,,,,,6.7,97.9,,,,,9.6,99.6,,,,,6.7,100.3,
-114,,,,,4.2,94,,,,,7.8,98.7,,,,,10.8,100.2,,,,,7.4,100.8,
-113,,,,,5,94.7,,,,,8.9,99.5,,,,,12.3,100.8,,,,,8.4,101.2,
-112,,,,,6.2,95.4,,,,,10.3,100.1,,,,,14.4,101.4,,,,,10,101.4,
-111,,,,,7.8,95.9,,,,,12.3,100.5,,,,,16.8,101.8,,,,,12,101.6,
-110,,,,,9.6,96.2,,,,,14.7,100.8,,,,,19.7,102,,,,,14.6,101.8,
-109,,,,,11.9,96.5,,,,,17.6,101.2,,,,,22.9,102.3,,,,,17.4,102,
-108,,,,,14.7,96.8,,,,,20.9,101.6,,,,,27,102.5,,,,,21.7,102.2,
-107,,,,,18.4,97,,,,0.7,25.1,101.9,,,,1.3,31.6,102.8,,,,1.7,26.7,102.3,
-106,,,,0.4,22.5,97.3,,,,0.7,29.8,102,,,,1.4,36.7,103,,,,1.7,32.6,102.4,
-105,,,,0.5,27.4,97.5,,,,0.8,35.3,102.2,,,,1.5,42,103.2,,,,1.8,39,102.5,
-104,,,,0.5,33.1,97.8,,,,0.8,40.8,102.4,,,,1.6,47.8,103.3,,,,1.9,46.5,102.7,
-103,,,,0.5,39.6,98,,,,0.9,47.3,102.6,,,,1.8,53.8,103.5,,,,2.1,54.1,102.7,
-102,,,,0.6,46.3,98.2,,,,1,53.8,102.7,,,,1.9,60,103.7,,,,2.2,62,102.8,
-101,,,,0.6,53.3,98.4,,,,1.1,60.6,102.8,,,,2.1,65.7,103.8,,,,2.3,69,102.8,
-100,,,,0.6,60.2,98.5,,,,1.3,66.3,102.9,,,,2.4,71.1,103.8,,,,2.5,75.4,102.8,
-99,,,,0.7,66.6,98.6,,,,1.5,72,102.9,,,,2.6,76.1,103.8,,,,2.6,81,102.9,
-98,,,,0.8,72.4,98.7,,,,1.7,77.1,103,,,,2.9,80.9,103.9,,,,2.8,86.1,102.9,
-97,,,,0.9,77.4,98.9,,,,1.9,82.1,103,,,,3.2,84.7,103.9,,,,3,89.5,102.9,
-96,,,,1.1,81.6,99,,,,2.2,85.4,103.1,,,,3.6,87.8,103.9,,,,3.2,92.2,102.9,
-95,,,,1.2,85,99.1,,,,2.5,88.4,103.2,,,,4,90.5,104,,,,3.4,94.5,103,
-94,,,,1.4,87.7,99.1,,,,2.9,91,103.3,,,,4.6,93,104,,,,3.8,96.3,103,
-93,,,,1.7,89.8,99.2,,,,3.4,93.3,103.3,,,,5.1,94.7,104.1,,,,4.1,97.4,103,
-92,,,,2,91.3,99.3,,,,3.9,94.6,103.4,,,,5.8,95.9,104.2,,,,4.5,98.2,102.9,
-91,,,,2.5,92.6,99.4,,,,4.6,95.7,103.3,,,,6.7,97.1,104.2,,,,5,98.9,102.9,
