0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Scan Type:,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low,High,Joined,Low
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV
Fieldsize:,5 x 5 mm,5 x 5 mm,5 x 5 mm,10 x 10 mm,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,80 x 80 mm,80 x 80 mm,80 x 80 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,120 x 120 mm,120 x 120 mm,120 x 120 mm,140 x 140 mm,140 x 140 mm,140 x 140 mm,220 x 220 mm,220 x 220 mm,220 x 220 mm,300 x 220 mm,300 x 220 mm,300 x 220 mm
Depth:,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm,-0.5 mm,-0.5 mm,50.0 mm
,Color [Orange],Color [DeepPink],Color [Teal],Color [Blue],Color [Blue],Color [DeepPink],Color [Gold],Color [ForestGreen],Color [ForestGreen],Color [CornflowerBlue],Color [Gold],Color [Brown],Color [DarkOrange],Color [Brown],Color [DarkOliveGreen],Color [DarkTurquoise],Color [CornflowerBlue],Color [DarkRed],Color [DarkOrchid],Color [DarkOliveGreen],Color [DarkGreen],Color [MediumVioletRed],Color [DarkOrange],Color [SlateBlue],Color [DarkGoldenrod],Color [DarkRed],Color [DarkBlue],Color [DarkCyan],Color [DarkTurquoise],Color [DarkMagenta],Color [SlateBlue],Color [DarkGreen],Color [MediumVioletRed],Color [Orange],Color [DarkOrchid],Color [Teal]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,69,69,,57.4,57.4,,53.2,53.2,,53.2,53.2,,53.6,53.6,,54.3,54.3,,55.6,55.6,,59.5,59.5,,59.1,59.1,,60.8,60.8,,68.3,68.3,,70.5,70.5,
1,68.9,68.9,,57.1,57.1,,53.4,53.4,,53.5,53.5,,53.8,53.8,,54.1,54.1,,55.8,55.8,,60,60,,59.2,59.2,,60.7,60.7,,68.5,68.5,,70.7,70.7,
2,75.7,75.6,,70.9,71,,65.4,65.5,,64.7,64.8,,64.5,64.6,,62.7,62.7,,65.5,65.5,,69.4,69.4,,66.1,66.1,,64.9,64.9,,76.3,76.2,,77,77,
