0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Scan Type:,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose,Depth Dose
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF),10 MV (FFF)
Fieldsize:,5 x 5 mm,5 x 5 mm,10 x 10 mm,10 x 10 mm,20 x 20 mm,20 x 20 mm,30 x 30 mm,30 x 30 mm,40 x 40 mm,40 x 40 mm,60 x 60 mm,60 x 60 mm,80 x 80 mm,80 x 80 mm,80 x 80 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,120 x 120 mm,120 x 120 mm,120 x 120 mm,140 x 140 mm,140 x 140 mm,150 x 150 mm,150 x 150 mm,150 x 150 mm,220 x 220 mm,220 x 220 mm,300 x 220 mm,300 x 220 mm
Depth:,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,-0.5 mm,60.0 mm,350.0 mm,-0.5 mm,-0.5 mm,60.0 mm,350.0 mm,-0.5 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,-0.5 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm,60.0 mm,350.0 mm
,Color [SlateBlue],Color [MediumVioletRed],Color [Orange],Color [Teal],Color [Blue],Color [DeepPink],Color [Gold],Color [ForestGreen],Color [CornflowerBlue],Color [Brown],Color [DarkOrange],Color [DarkOliveGreen],Color [CornflowerBlue],Color [DarkTurquoise],Color [DarkRed],Color [ForestGreen],Color [Brown],Color [DarkOrchid],Color [DarkGreen],Color [DarkOliveGreen],Color [DarkGoldenrod],Color [DarkBlue],Color [Blue],Color [DeepPink],Color [Gold],Color [DarkCyan],Color [DarkMagenta],Color [Orange],Color [Teal],Color [SlateBlue],Color [MediumVioletRed]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36.4,,37.7,,39.3,,40.5,,40.3,,42.1,,40.1,40.1,,41.7,41.6,41.7,,43.2,43.2,,89.8,,45.2,45.2,,92.6,,100,
1,35.5,,37.1,,38.5,,39.7,,39.9,,41.5,,40.2,40.2,,42.5,41.7,41.7,,43.7,43.7,,90.3,,45.3,45.3,,92.6,,100.3,
2,40.6,,42.9,,44.2,,45.1,,45.7,,47.3,,48.8,48.7,,49.3,49.5,49.4,,51.5,51.4,,94.2,,53.2,53.1,,100.4,,105.2,
3,48.1,,52.2,,53.5,,54.4,,55.2,,56.9,,58.4,58.3,,59.5,59.7,59.6,,61,61,,112,,62.8,62.8,,121.3,,123.8,
4,53.4,,59.1,,60.8,,61.7,,62.5,,64.3,,65.9,65.8,,67,67.2,67.1,,68.5,68.4,,127.1,,70.3,70.2,,135.4,,137.7,
5,56.9,,64.5,,66.7,,67.5,,68.4,,70.2,,71.7,71.6,,72.9,73.1,73,,74.4,74.3,,138.8,,76.1,76,,146.4,,148.6,
6,59.4,,68.6,,71.4,,72.3,,73.2,,74.9,,76.5,76.4,,77.7,77.9,77.8,,79.1,79,,147.9,,80.8,80.6,,155.3,,157.2,
7,61.2,,71.9,,75.3,,76.3,,77.3,,78.9,,80.6,80.5,,81.8,81.9,81.7,,83.1,82.9,,155.7,,84.7,84.5,,162.5,,164.3,
8,62.5,,74.6,,78.7,,79.8,,80.7,,82.4,,83.8,83.7,,85.1,85.1,85,,86.3,86.2,,162.3,,87.9,87.8,,168.6,,170.4,
9,63.3,,76.5,,81.2,,82.5,,83.4,,84.9,,86.6,86.5,,87.8,87.9,87.8,,89.1,89,,167.4,,90.4,90.3,,173.4,,175,
10,63.8,,78,,83.5,,84.8,,85.7,,87.3,,88.8,88.7,,90,90.1,90,,91.2,91.1,,171.6,,92.7,92.6,,177.2,,178.8,
11,64.1,,79.2,,85.2,,86.7,,87.6,,89.3,,90.8,90.7,,91.9,91.9,91.7,,93,92.9,,175.3,,94.4,94.3,,180.6,,181.9,
12,64.2,,79.9,,86.9,,88.3,,89.3,,90.9,,92.5,92.4,,93.6,93.6,93.5,,94.7,94.6,,178.4,,95.9,95.8,,183.4,,184.8,
13,64.3,,80.5,,88,,89.7,,90.7,,92.3,,93.7,93.7,,94.9,95,94.9,,95.8,95.7,,180.7,,97.2,97.1,,185.4,,187,
14,64.2,,81,,89,,90.8,,91.8,,93.4,,94.8,94.8,,95.9,95.9,95.9,,96.9,96.8,,182.9,,98.1,98,,187.3,,188.7,
15,64.1,,81.2,,89.8,,91.7,,92.7,,94.3,,95.8,95.8,,96.8,96.9,96.8,,97.8,97.8,,184.5,,98.9,98.8,,188.8,,190,
16,63.8,,81.3,,90.4,,92.4,,93.5,,95.2,,96.5,96.4,,97.6,97.6,97.5,,98.5,98.4,,185.6,,99.6,99.5,,189.9,,191.1,
17,63.7,,81.3,,90.9,,93.1,,94.2,,95.8,,97.1,97.1,,98.2,98.1,98.1,,99,99,,186.7,,100.1,100.1,,190.9,,192.1,
18,63.4,,81.2,,91.3,,93.5,,94.7,,96.3,,97.6,97.5,,98.6,98.6,98.6,,99.5,99.5,,187.5,,100.5,100.4,,191.5,,192.7,
19,63.1,,81.1,,91.4,,93.8,,95,,96.6,,97.9,97.9,,98.9,98.9,98.9,,99.7,99.7,,188.1,,100.8,100.8,,192,,193.1,
20,62.8,,80.9,,91.5,,94.1,,95.2,,96.9,,98.1,98.1,,99.2,99.2,99.2,,100,100,,188.7,,100.9,100.9,,192.4,,193.5,
21,62.5,,80.6,,91.5,,94.2,,95.4,,97.1,,98.3,98.3,,99.3,99.3,99.3,,100,100,,188.7,,101,101,,192.5,,193.3,
22,62.1,,80.3,,91.4,,94.2,,95.5,,97.2,,98.3,98.3,,99.3,99.3,99.4,,100,100.1,,189,,101,101,,192.6,,193.6,
23,61.8,,80,,91.3,,94.2,,95.6,,97.1,,98.3,98.3,,99.3,99.3,99.4,,100,100,,188.9,,100.9,100.9,,192.4,,193.3,
24,61.4,,79.7,,91.2,,94.2,,95.4,,97.2,,98.3,98.3,,99.3,99.3,99.3,,100,100,,188.7,,100.9,100.8,,192.1,,193.1,
25,61,,79.3,,90.9,,94,,95.4,,96.9,,98.2,98.2,,99.1,99,99.1,,99.9,99.9,,188.3,,100.7,100.8,,192,,192.8,
26,60.6,,78.9,,90.6,,93.8,,95.1,,96.9,,98,98.1,,98.9,98.9,99,,99.7,99.7,,188.1,,100.6,100.6,,191.7,,192.4,
27,60.2,,78.4,,90.2,,93.5,,95,,96.6,,97.8,97.8,,98.7,98.7,98.7,,99.5,99.5,,187.8,,100.3,100.3,,191.2,,192.1,
28,59.9,,78,,89.9,,93.2,,94.7,,96.4,,97.6,97.6,,98.6,98.6,98.6,,99.2,99.2,,187.3,,100,100,,190.8,,191.6,
29,59.6,,77.6,,89.5,,92.9,,94.4,,96,,97.2,97.3,,98.3,98.3,98.3,,98.9,99,,186.9,,99.7,99.8,,190.2,,191.1,
30,59.2,,77.2,,89.1,,92.5,,94.1,,95.8,,97,97,,97.9,97.8,97.9,,98.6,98.7,,186.3,,99.5,99.5,,189.6,,190.7,
31,58.8,,76.8,,88.8,,92.2,,93.8,,95.5,,96.7,96.8,,97.6,97.6,97.6,,98.4,98.4,,185.7,,99.1,99.2,,189,,189.9,
32,58.4,,76.3,,88.3,,91.8,,93.4,,95.1,,96.3,96.4,,97.3,97.3,97.4,,98,98,,185.1,,98.8,98.8,,188.3,,189.5,
33,58,,75.9,,87.9,,91.4,,93,,94.8,,95.9,96,,96.9,96.9,96.9,,97.6,97.6,,184.4,,98.5,98.6,,187.6,,188.7,
34,57.7,,75.4,,87.5,,91,,92.6,,94.3,,95.6,95.6,,96.5,96.5,96.6,,97.2,97.3,,183.7,,98.1,98.1,,187.1,,188.3,
35,57.3,,75,,87,,90.6,,92.2,,94,,95.1,95.2,,96.1,96.1,96.2,,96.8,96.9,,183,,97.7,97.7,,186.2,,187.4,
36,57,,74.4,,86.5,,90.1,,91.8,,93.6,,94.8,94.9,,95.7,95.7,95.8,,96.4,96.4,,182.2,,97.3,97.4,,185.5,,186.7,
37,56.6,,74.1,,86,,89.6,,91.2,,93.1,,94.4,94.5,,95.3,95.3,95.4,,96.1,96.2,,181.6,,96.9,97,,184.8,,186,
38,56.3,,73.6,,85.5,,89.3,,90.9,,92.7,,93.9,94.1,,94.9,94.8,94.9,,95.7,95.8,,180.8,,96.5,96.6,,184.2,,185.3,
39,55.9,,73.2,,85,,88.8,,90.4,,92.3,,93.6,93.6,,94.5,94.5,94.6,,95.3,95.4,,180.3,,96.1,96.2,,183.5,,184.4,
40,55.6,,72.7,,84.6,,88.4,,89.9,,91.9,,93.2,93.2,,94.1,94.1,94.1,,94.8,94.9,,179.5,,95.6,95.7,,182.6,,183.7,
41,55.1,,72.4,,84.1,,87.8,,89.5,,91.4,,92.6,92.7,,93.6,93.6,93.7,,94.4,94.5,,178.9,,95.2,95.3,,181.9,,183,
42,54.8,,71.9,,83.7,,87.3,,89,,91,,92.2,92.3,,93.2,93.2,93.3,,94,94.1,,178,,94.8,94.9,,181.2,,182.2,
43,54.5,,71.4,,83.2,,86.9,,88.6,,90.5,,91.8,92,,92.8,92.8,92.9,,93.6,93.6,,177.3,,94.4,94.5,,180.4,,181.5,
44,54.1,,71.1,,82.7,,86.3,,88.1,,90.1,,91.4,91.4,,92.4,92.4,92.5,,93.1,93.2,,176.5,,94,94.2,,179.4,,180.8,
45,53.7,,70.5,,82.2,,85.9,,87.7,,89.7,,90.9,91.1,,92,91.9,92.1,,92.7,92.8,,175.7,,93.6,93.7,,179,,180,
46,53.5,,70.1,,81.7,,85.3,,87.2,,89.2,,90.4,90.5,,91.6,91.6,91.7,,92.2,92.4,,174.9,,93.3,93.4,,178.2,,179.1,
47,53.1,,69.7,,81.3,,84.9,,86.7,,88.7,,90,90.2,,91.1,91.1,91.2,,91.9,92,,174.4,,92.8,92.9,,177.5,,178.6,
48,52.7,,69.3,,80.9,,84.5,,86.3,,88.4,,89.6,89.8,,90.7,90.7,90.8,,91.5,91.7,,173.4,,92.4,92.5,,176.6,,177.8,
49,52.4,,68.8,,80.3,,84,,85.9,,87.9,,89.2,89.3,,90.2,90.2,90.4,,91.1,91.2,,172.6,,92,92.2,,175.8,,176.9,
50,52,,68.4,,79.8,,83.6,,85.4,,87.4,,88.8,88.8,,89.8,89.8,89.9,,90.6,90.7,,171.8,,91.6,91.6,,175.1,,176.1,
51,51.7,51.7,68,68.1,79.4,79.5,83.1,83.1,84.9,85,87,87.2,88.4,88.5,88.6,89.5,89.5,89.4,89.7,90.3,90.4,90.4,171,171.3,91.2,91.3,91.4,174.5,174.5,175.4,175.5
52,51.4,51.4,67.6,67.7,79,79,82.7,82.5,84.3,84.5,86.6,86.7,87.9,88,88.1,89.1,89.1,89.1,89.3,89.8,89.9,90,170.4,170.5,90.8,90.9,90.9,173.7,173.7,174.8,174.8
53,51.1,51.1,67.2,67.3,78.4,78.5,82.1,82.2,84,84,86.1,86.3,87.5,87.7,87.6,88.6,88.6,88.8,88.8,89.4,89.6,89.6,169.5,169.7,90.3,90.5,90.5,172.8,172.9,173.9,174.1
54,50.7,50.8,66.8,67,78.1,78.1,81.6,81.8,83.6,83.6,85.6,85.8,87,87.1,87.2,88.1,88.1,88.2,88.3,89,89.1,89.1,168.8,168.9,90,90,90.1,171.9,172.1,173.2,173.4
55,50.4,50.4,66.3,66.5,77.6,77.6,81.2,81.3,83.1,83.1,85.3,85.4,86.6,86.9,86.8,87.7,87.8,87.8,87.9,88.5,88.7,88.7,168.1,168,89.6,89.7,89.7,171.5,171.3,172.5,172.6
56,50.2,50.1,65.9,66.1,77.1,77.2,80.8,80.8,82.6,82.6,84.9,84.9,86.2,86.4,86.4,87.3,87.3,87.4,87.5,88.2,88.3,88.2,167.2,167.2,89.1,89.2,89.3,170.5,170.5,171.6,171.9
57,49.9,49.8,65.5,65.6,76.7,76.8,80.3,80.4,82.3,82.2,84.5,84.5,85.8,86,86,86.9,86.9,87.1,87,87.8,87.9,87.9,166.7,166.6,88.7,88.9,88.8,169.8,170,170.8,171
58,49.5,49.5,65.1,65.2,76.2,76.4,79.9,79.9,81.7,81.8,83.9,84.1,85.4,85.5,85.6,86.5,86.5,86.6,86.6,87.4,87.5,87.6,165.8,166.1,88.3,88.5,88.4,169.1,169.4,170.2,170.2
59,49.2,49.3,64.8,64.8,75.7,75.8,79.4,79.5,81.3,81.3,83.5,83.6,85,85.1,85.2,86.1,86.2,86.2,86.3,87,87,87.2,164.8,165.2,87.9,88,88,168.3,168.3,169.4,169.5
60,,49,,64.4,,75.3,,79.1,,80.8,,83.1,84.6,,84.8,85.7,85.7,,86,86.5,,86.7,,164.4,87.5,,87.7,,167.3,,168.8
61,,48.7,,64,,74.9,,78.6,,80.4,,82.7,84.2,,84.4,85.2,85.2,,85.4,86.2,,86.3,,163.6,87.2,,87.3,,166.8,,168.1
62,,48.4,,63.6,,74.6,,78.2,,80,,82.3,83.7,,83.9,84.8,84.8,,84.9,85.8,,85.9,,162.9,86.8,,86.9,,166.3,,167.4
