0,1,2,3,4,5,6
Scan Type:,Crossline,Crossline,Crossline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV
Fieldsize:,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,15.0 mm,100.0 mm,350.0 mm,15.0 mm,100.0 mm,350.0 mm
,Color [MediumVioletRed],Color [Orange],Color [DeepPink],Color [SlateBlue],Color [Teal],Color [Blue]
Coordinate [mm]:,,,,,,
-90,,,1,,,1.1
-89,,,0.9,,,1.1
-88,,,0.8,,,1.1
-87,,,0.9,,,1.1
-86,,,1.2,,,1.3
-85,,,1.2,,,1.1
-84,,,1.1,,,1.3
-83,,,1,,1.7,1.3
-82,,1.3,0.9,,1.7,1.2
-81,,1.5,0.9,,1.7,1.2
-80,1.1,1.6,1.1,1.5,1.7,1.2
-79,1.2,1.4,1.1,1.6,1.7,1.2
-78,1.2,1.5,1.2,1.6,1.7,1.4
-77,1.3,1.6,1.4,1.6,1.8,1.4
-76,1.3,1.6,1.5,1.7,1.8,1.4
-75,1.1,1.6,1.3,1.5,2,1.4
-74,1.2,1.9,1.2,1.7,2.2,1.4
-73,1.5,1.9,1.4,1.8,2.1,1.3
-72,1.6,1.8,1.4,1.8,2.1,1.4
-71,1.3,1.9,1.4,1.8,2.3,1.6
-70,1,2,1.5,1.9,2.4,1.7
-69,1.3,2.2,1.4,1.8,2.4,1.8
-68,1.3,2.1,1.4,1.9,2.5,1.6
-67,1.4,2.3,1.5,2.1,2.6,1.7
-66,1.6,2.4,1.6,2.4,2.8,1.8
-65,1.6,2.4,1.6,2.5,2.8,1.8
-64,1.6,2.5,1.5,2.3,2.9,1.8
-63,1.7,2.5,1.7,2.4,3.1,1.8
-62,1.9,2.7,1.7,2.4,3,1.7
-61,1.9,2.7,1.8,2.4,3.1,1.7
-60,1.9,2.8,1.8,2.5,3.3,1.8
-59,1.9,3,1.9,2.8,3.4,2
-58,2,3.2,2.1,2.8,3.5,2
-57,2.2,3,2,2.9,3.5,1.8
-56,2.3,3.3,2.1,3,3.6,1.9
-55,2.2,3.4,2.1,2.9,3.8,2
-54,2.3,3.5,2.1,2.9,4.1,2.3
-53,2.5,3.6,2.2,3.2,4.1,2.4
-52,2.6,3.7,2.2,3.3,4.3,2.3
-51,2.5,3.9,2.1,3.4,4.5,2.2
-50,2.6,4,2.2,3.6,4.6,2.5
-49,2.8,4.3,2.4,3.8,4.6,2.6
-48,2.8,4.6,2.5,3.7,4.8,2.6
-47,2.9,4.6,2.4,3.8,5,2.7
-46,3.2,4.8,2.7,3.9,5.2,2.8
-45,3.5,5,2.8,4,5.4,3.1
-44,3.5,5.3,3.2,4.2,5.6,3.6
-43,3.6,5.6,3.8,4.4,5.9,4
-42,3.8,5.8,4.7,4.4,6.1,4.8
-41,4,6,6.5,4.5,6.4,6.1
-40,4.2,6.5,9.1,4.9,6.9,8
-39,4.4,7.3,11.5,5.3,7.7,10.8
-38,4.7,8,13.4,5.6,8.6,12.9
-37,5.3,8.9,14.7,6.1,9.8,14.7
-36,5.9,10.6,15.6,6.8,11.7,15.6
-35,6.8,13.9,16.3,7.9,15.5,16.1
-34,9,21.3,16.3,10.1,21.6,16.5
