0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Scan Type:,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Crossline,Inline,Inline,Inline,Inline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV
Fieldsize:,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,100 x 100 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,200 x 200 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,300 x 300 mm,40 x 40 mm,40 x 40 mm,70 x 70 mm,70 x 70 mm,100 x 100 mm,200 x 200 mm,300 x 300 mm
Depth:,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,100.0 mm,200.0 mm,300.0 mm,15.0 mm,50.0 mm,15.0 mm,50.0 mm,15.0 mm,15.0 mm,15.0 mm
,Color [Blue],Color [MediumVioletRed],Color [DeepPink],Color [DarkOrchid],Color [DarkBlue],Color [Gold],Color [Teal],Color [DarkCyan],Color [DarkMagenta],Color [DarkGoldenrod],Color [CornflowerBlue],Color [MediumVioletRed],Color [SlateBlue],Color [Teal],Color [Orange],Color [DarkOrange],Color [Gold],Color [ForestGreen],Color [Blue],Color [DeepPink],Color [DarkTurquoise],Color [Brown],Color [CornflowerBlue],Color [DarkOliveGreen],Color [DarkOrange],Color [ForestGreen],Color [SlateBlue],Color [Brown],Color [Orange],Color [DarkOliveGreen],Color [DarkRed],Color [DarkGreen]
Coordinate [mm]:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-241,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,
-240,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,
-239,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,
-238,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,
-237,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,
-236,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,
-235,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,
-234,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,
-233,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,
-232,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,
-231,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
-230,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.1,,,,,,,
-229,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.2,,,,,,,
-228,,,,,,,,,,,,,,,,,,,,,,,,6.6,6.3,,,,,,,
-227,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.4,,,,,,,
-226,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.4,,,,,,,
