Position,Reading
-11.2,21.73
-10.8,95.16
-10.4,100.79
-10,101.49
-9.6,102.2
-9.2,102.88
-8.8,102.53
-8.4,102.45
-8,102.88
-7.6,102.08
-7.2,102.31
-6.8,102.91
-6.4,102.46
-6,102.27
-5.6,102.27
-5.2,102.3
-4.8,101.89
-4.4,101.74
-4,100.62
-3.6,100.84
-3.2,100.7
-2.8,100.39
-2.4,100.57
-2,100.38
-1.6,100
-1.2,99.61
-0.8,98.68
-0.4,97.59
0,98.25
0.4,98
0.8,98.77
1.2,99.45
1.6,98.88
2,99.71
2.4,100.34
2.8,100.2
3.2,100.43
3.6,100.14
4,101.07
4.4,101.76
4.8,101.71
5.2,101.9
5.6,102.24
6,102.36
6.4,101.88
6.8,102.34
7.2,102.54
7.6,102.52
8,102.21
8.4,102.12
8.8,101.71
9.2,102.68
9.6,101.87
10,100.87
10.4,99.21
10.8,92.22
11.2,18.15
