Position(cm),Reading
-16.4,704853
-16,2237432
-15.6,5593143
-15.2,5631330
-14.8,5554499
-14.4,5916930
-14,5538259
-13.6,5761601
-13.2,5838431
-12.8,5677932
-12.4,5680827
-12,5930360
-11.6,5931408
-11.2,5724543
-10.8,5666856
-10.4,5737086
-10,5322561
-9.6,5522913
-9.2,5446923
-8.8,5455300
-8.4,5524172
-8,5378219
-7.6,5290612
-7.2,5353460
-6.8,5396984
-6.4,5457800
-6,5287462
-5.6,5452865
-5.2,5344703
-4.8,5364568
-4.4,5298907
-4,5102546
-3.6,5125730
-3.2,5213856
-2.8,5000419
-2.4,5183835
-2,5307884
-1.6,5322218
-1.2,5185474
-0.8,5141475
-0.4,4966804
0,5151798
0.4,5148348
0.8,5174635
1.2,5195619
1.6,5473530
2,5192319
2.4,5384028
2.8,5261172
3.2,5470056
3.6,5028100
4,5111206
4.4,5055500
4.8,5137234
5.2,5113736
5.6,5589438
6,5339879
6.4,5303074
6.8,5389487
7.2,5478680
7.6,5371711
8,5385951
8.4,5435725
8.8,5295094
9.2,5412678
9.6,5491124
10,5355248
10.4,5566194
10.8,6030301
11.2,5876727
11.6,5851696
12,5549200
12.4,5791124
12.8,5832895
13.2,5687225
13.6,5565406
14,5951587
14.4,5760963
14.8,5659100
15.2,5890708
15.6,5625443
16,4268990
16.4,818974
