Position,Reading
-11.20,20.78
-10.80,95.61
-10.40,102.11
-10.00,103.83
-9.60,103.69
-9.20,103.69
-8.80,103.78
-8.40,103.90
-8.00,103.73
-7.60,103.85
-7.20,103.90
-6.80,103.69
-6.40,103.32
-6.00,103.23
-5.60,103.09
-5.20,102.76
-4.80,102.66
-4.40,102.34
-4.00,101.99
-3.60,101.36
-3.20,100.88
-2.80,100.51
-2.40,100.33
-2.00,100.14
-1.60,99.92
-1.20,99.30
-0.80,98.93
-0.40,98.56
0.00,98.18
0.40,98.23
0.80,98.37
1.20,98.55
1.60,98.97
2.00,99.16
2.40,99.19
2.80,99.35
3.20,99.47
3.60,99.56
4.00,100.17
4.40,100.45
4.80,100.89
5.20,101.18
5.60,101.32
6.00,101.51
6.40,101.71
6.80,101.83
7.20,101.95
7.60,101.94
8.00,102.04
8.40,102.24
8.80,102.03
9.20,101.87
9.60,101.54
10.00,100.99
10.40,99.68
10.80,93.16
11.20,18.88
