Position(cm),Reading
-16.40,1590831.00
-16.00,5052760.00
-15.60,12634253.00
-15.20,12727468.00
-14.80,12554038.00
-14.40,13374720.00
-14.00,12516127.00
-13.60,13021798.00
-13.20,13192960.00
-12.80,12837571.00
-12.40,12836634.00
-12.00,13401349.00
-11.60,13402126.00
-11.20,12937450.00
-10.80,12801364.00
-10.40,12962655.00
-10.00,12024758.00
-9.60,12482282.00
-9.20,12300162.00
-8.80,12322426.00
-8.40,12486986.00
-8.00,12148293.00
-7.60,11953139.00
-7.20,12095810.00
-6.80,12196149.00
-6.40,12328788.00
-6.00,11943443.00
-5.60,12317192.00
-5.20,12072460.00
-4.80,12122309.00
-4.40,11974445.00
-4.00,11529254.00
-3.60,11583096.00
-3.20,11773929.00
-2.80,11296007.00
-2.40,11714080.00
-2.00,11992178.00
-1.60,12026046.00
-1.20,11716018.00
-0.80,11614582.00
-0.40,11230647.00
0.00,11643236.00
0.40,11635858.00
0.80,11699596.00
1.20,11744564.00
1.60,12366859.00
2.00,11735801.00
2.40,12167310.00
2.80,11895125.00
3.20,12364456.00
3.60,11365054.00
4.00,11558266.00
4.40,11431113.00
4.80,11622060.00
5.20,11573410.00
5.60,12636447.00
6.00,12077178.00
6.40,11992411.00
6.80,12188436.00
7.20,12393552.00
7.60,12149669.00
8.00,12181726.00
8.40,12299292.00
8.80,11971051.00
9.20,12245230.00
9.60,12421723.00
10.00,12111558.00
10.40,12590763.00
10.80,13641521.00
11.20,13288300.00
11.60,13238582.00
12.00,12552844.00
12.40,13108350.00
12.80,13197829.00
13.20,12872416.00
13.60,12596199.00
14.00,13462377.00
14.40,13037549.00
14.80,12800843.00
15.20,13332354.00
15.60,12730531.00
16.00,9662750.00
16.40,1849840.00
