VOI Material,Mass density,CT number,AAA,AXB Dw,AXB Dm,CCC,EGS,Mean,Max % error
Air,0.0,-993.0,1.033986928104575,1.0484927916120577,0.9082568807339448,1.021097046413502,0.9666666666666666,0.9957000627061493,15.440115440115456
Lung,0.26,-734.0,1.0130718954248366,1.0235910878112713,1.0222804718217562,,,1.0196478183526214,1.0383460871771055
,0.5,,,,,1.0154711673699017,1.02,1.0177355836849509,0.44598337950136885
Adipose tissue,0.92,-105.0,1.0052287581699346,0.9790301441677588,0.9986893840104849,,,0.9943160954493928,2.6759762360990837
Water,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Epoxy,1.04,38.0,1.0,1.019659239842726,0.944954128440367,,,0.9882044560943642,7.9056865464632375
Muscle skeletal,1.05,48.0,1.0,1.0026212319790302,0.9882044560943644,,,0.9969418960244649,1.4588859416445663
Cartilage,1.1,128.0,0.9947712418300652,1.0078636959370904,0.9829619921363041,,,0.9951989766344865,2.533333333333323
PMMA,1.19,282.0,0.9947712418300652,0.9921363040629095,0.9606815203145478,,,0.9825296887358409,3.5484935220108804
Radel,1.3,470.0,0.9947712418300652,1.0222804718217562,0.9292267365661862,,,0.9820928167393359,10.01410437235542
PEEK,1.31,487.0,0.9947712418300652,1.003931847968545,0.9239842726081258,,,0.9742291208022453,8.652482269503535
PVC,1.38,605.0,0.9908496732026144,1.1389252948885977,0.9370904325032765,,,1.0222884668648293,21.53846153846155
Acetal,1.42,671.0,0.9895424836601308,1.0,0.946264744429882,,,0.9786024093633375,5.6786703601108135
,1.5,,,,,0.9676511954992968,0.9733333333333334,0.9704922644163151,0.587209302325584
PVDF,1.77,1283.0,0.9803921568627451,1.0183486238532111,0.8859764089121887,,,0.9615723965427149,14.940828402366886
Bone,1.85,1430.0,0.9777777777777777,1.076015727391874,0.9357798165137615,,,0.9965244405611378,14.985994397759079
,2.0,,,,,0.9282700421940929,0.9466666666666665,0.9374683544303797,1.981818181818158
PTFE,2.2,2041.0,0.966013071895425,1.0340760157273918,0.8466579292267364,,,0.9489156722831843,22.136222910216734
,2.5,,,,,0.8818565400843883,0.9200000000000002,0.9009282700421942,4.325358851674645
Aluminium,2.7,2913.0,0.9477124183006536,1.197903014416776,0.8335517693315858,,,0.9930557340163384,43.71069182389938
,3.0,,,,,0.8537271448663855,0.9,0.8768635724331928,5.4200988467874724
,3.5,,,,,0.838255977496484,0.8733333333333334,0.8557946554149087,4.184563758389255
,4.0,,,,,0.8227848101265823,0.8533333333333334,0.8380590717299579,3.7128205128205125
Titanium alloy,4.42,5908.0,0.8797385620915031,1.3001310615989514,0.8099606815203145,,,0.996610101736923,60.5177993527508
