Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 11:47:28
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
0.000000	0.000000
0.025014	0.000000
0.050028	0.000000
0.075042	0.000000
0.100057	116.221113
0.125071	124.269212
0.150085	132.317311
0.175099	140.365410
0.200113	148.413509
0.225127	156.461609
0.250141	164.509708
0.275155	172.557807
0.300170	180.605906
0.325184	188.654005
0.350198	196.057016
0.375212	199.857486
0.400226	203.657956
0.425240	207.458426
0.450254	211.258896
0.475269	215.059366
0.500283	218.859836
0.525297	222.660306
0.550311	226.460776
0.575325	230.261246
0.600339	233.752372
0.625353	235.589017
0.650368	237.425662
0.675382	239.262307
0.700396	241.098952
0.725410	242.935597
0.750424	244.772242
0.775438	246.608888
0.800452	248.445533
0.825466	250.282178
0.850481	251.970686
0.875495	252.899472
0.900509	253.828259
0.925523	254.757046
0.950537	255.685833
0.975551	256.614619
1.000565	257.543406
1.025580	258.472193
1.050594	259.400980
1.075608	260.329767
1.100622	261.159929
1.125636	261.504532
1.150650	261.849134
1.175664	262.193736
1.200679	262.538338
1.225693	262.882940
1.250707	263.227543
1.275721	263.572145
1.300735	263.916747
1.325749	264.261349
1.350763	264.548833
1.375777	264.566062
1.400792	264.583290
1.425806	264.600518
1.450820	264.617747
1.475834	264.634975
1.500848	264.652204
1.525862	264.669432
1.550876	264.686660
1.575891	264.703889
1.600905	264.691782
1.625919	264.546148
1.650933	264.400514
1.675947	264.254880
1.700961	264.109247
1.725975	263.963613
1.750989	263.817979
1.776004	263.672345
1.801018	263.526711
1.826032	263.381078
1.851046	263.218525
1.876060	262.981818
1.901074	262.745110
1.926088	262.508403
1.951103	262.271696
1.976117	262.034989
2.001131	261.798282
2.026145	261.561575
2.051159	261.324868
2.076173	261.088161
2.101187	260.842029
2.126202	260.556088
2.151216	260.270147
2.176230	259.984206
2.201244	259.698265
2.226258	259.412324
2.251272	259.126383
2.276286	258.840442
2.301300	258.554502
2.326315	258.268561
2.351329	257.980842
2.376343	257.685880
2.401357	257.390918
2.426371	257.095957
2.451385	256.800995
2.476399	256.506033
2.501414	256.211071
2.526428	255.916110
2.551442	255.621148
2.576456	255.326186
2.601470	255.033304
2.626484	254.748600
2.651498	254.463896
2.676512	254.179193
2.701527	253.894489
2.726541	253.609785
2.751555	253.325081
2.776569	253.040378
2.801583	252.755674
2.826597	252.470970
2.851611	252.186778
2.876626	251.904532
2.901640	251.622285
2.926654	251.340038
2.951668	251.057792
2.976682	250.775545
3.001696	250.493298
3.026710	250.211052
3.051725	249.928805
3.076739	249.646558
3.101753	249.363961
3.126767	249.080076
3.151781	248.796192
3.176795	248.512307
3.201809	248.228422
3.226823	247.944537
3.251838	247.660653
3.276852	247.376768
3.301866	247.092883
3.326880	246.808998
3.351894	246.525563
3.376908	246.243723
3.401922	245.961883
3.426937	245.680043
3.451951	245.398203
3.476965	245.116363
3.501979	244.834523
3.526993	244.552683
3.552007	244.270843
3.577021	243.989003
3.602036	243.707349
3.627050	243.426333
3.652064	243.145318
3.677078	242.864303
3.702092	242.583288
3.727106	242.302273
3.752120	242.021257
3.777134	241.740242
3.802149	241.459227
3.827163	241.178212
3.852177	240.896344
3.877191	240.611641
3.902205	240.326937
3.927219	240.042233
3.952233	239.757529
3.977248	239.472825
4.002262	239.188122
4.027276	238.903418
4.052290	238.618714
4.077304	238.334010
4.102318	238.049792
4.127332	237.767139
4.152346	237.484485
4.177361	237.201832
4.202375	236.919179
4.227389	236.636525
4.252403	236.353872
4.277417	236.071219
4.302431	235.788565
4.327445	235.505912
4.352460	235.224749
4.377474	234.948247
4.402488	234.671745
4.427502	234.395243
4.452516	234.118741
4.477530	233.842239
4.502544	233.565737
4.527559	233.289235
4.552573	233.012733
4.577587	232.736232
4.602601	232.457287
4.627615	232.170934
4.652629	231.884580
4.677643	231.598227
4.702657	231.311874
4.727672	231.025521
4.752686	230.739167
4.777700	230.452814
4.802714	230.166461
4.827728	229.880107
4.852742	229.593339
4.877756	229.305347
4.902771	229.017356
4.927785	228.729365
4.952799	228.441373
4.977813	228.153382
5.002827	227.865391
5.027841	227.577399
5.052855	227.289408
5.077870	227.001416
5.102884	226.714702
