Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 12:08:38
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
0.000000	142.257285
0.025014	165.702194
0.050028	189.147104
0.075042	212.592014
0.100057	236.036923
0.125071	259.481833
0.150085	282.926743
0.175099	306.371652
0.200113	329.816562
0.225127	351.106688
0.250141	360.094307
0.275155	369.081927
0.300170	378.069546
0.325184	387.057165
0.350198	396.044785
0.375212	405.032404
0.400226	414.020023
0.425240	423.007643
0.450254	431.995262
0.475269	440.250751
0.500283	444.505660
0.525297	448.760569
0.550311	453.015478
0.575325	457.270387
0.600339	461.525296
0.625353	465.780204
0.650368	470.035113
0.675382	474.290022
0.700396	478.544931
0.725410	482.587135
0.750424	485.515515
0.775438	488.443895
0.800452	491.372275
0.825466	494.300655
0.850481	497.229035
0.875495	500.157415
0.900509	503.085795
0.925523	506.014175
0.950537	508.942555
0.975551	511.517111
1.000565	512.313993
1.025580	513.110875
1.050594	513.907757
1.075608	514.704639
1.100622	515.501521
1.125636	516.298403
1.150650	517.095284
1.175664	517.892166
1.200679	518.689048
1.225693	519.415314
1.250707	519.800800
1.275721	520.186285
1.300735	520.571770
1.325749	520.957255
1.350763	521.342741
1.375777	521.728226
1.400792	522.113711
1.425806	522.499197
1.450820	522.884682
1.475834	523.154724
1.500848	522.889093
1.525862	522.623462
1.550876	522.357831
1.575891	522.092200
1.600905	521.826569
1.625919	521.560938
1.650933	521.295307
1.675947	521.029675
1.700961	520.764044
1.725975	520.482710
1.750989	520.131246
1.776004	519.779783
1.801018	519.428319
1.826032	519.076855
1.851046	518.725391
1.876060	518.373927
1.901074	518.022464
1.926088	517.671000
1.951103	517.319536
1.976117	516.932025
2.001131	516.389434
2.026145	515.846843
2.051159	515.304251
2.076173	514.761660
2.101187	514.219069
2.126202	513.676478
2.151216	513.133886
2.176230	512.591295
2.201244	512.048704
2.226258	511.506110
2.251272	510.963508
2.276286	510.420905
2.301300	509.878302
2.326315	509.335699
2.351329	508.793097
2.376343	508.250494
2.401357	507.707891
2.426371	507.165289
2.451385	506.622686
2.476399	506.068753
2.501414	505.469470
2.526428	504.870188
2.551442	504.270906
2.576456	503.671623
2.601470	503.072341
2.626484	502.473059
2.651498	501.873777
2.676512	501.274494
2.701527	500.675212
2.726541	500.083921
2.751555	499.523517
2.776569	498.963114
2.801583	498.402710
2.826597	497.842306
2.851611	497.281902
2.876626	496.721498
2.901640	496.161094
2.926654	495.600690
2.951668	495.040287
2.976682	494.476118
3.001696	493.897890
3.026710	493.319662
3.051725	492.741434
3.076739	492.163206
3.101753	491.584979
3.126767	491.006751
3.151781	490.428523
3.176795	489.850295
3.201809	489.272067
3.226823	488.701214
3.251838	488.156996
3.276852	487.612778
3.301866	487.068561
3.326880	486.524343
3.351894	485.980125
3.376908	485.435907
3.401922	484.891689
3.426937	484.347471
3.451951	483.803253
3.476965	483.252911
3.501979	482.681166
3.526993	482.109422
3.552007	481.537677
3.577021	480.965933
3.602036	480.394189
3.627050	479.822444
3.652064	479.250700
3.677078	478.678956
3.702092	478.107211
3.727106	477.540271
3.752120	476.989581
3.777134	476.438891
3.802149	475.888201
